term_id,prefLabel@es,altLabel@es,definition@es,prefLabel@en,altLabel@en,definition@en,prefLabel@de,altLabel@de,definition@de,prefLabel@nl,altLabel@nl,definition@nl,iate_id
LT6794975,cuantía,"amount involved in the case,small claims procedure,WBA,weekly benefit amount","the amount of benefits paid(actual),or entitled to(potential),per week.Determined by base period earnings",cuantía semanal de la prestación,"nivel de importancia relativa,límite de significación,límite de importancia relativa,límite de tolerancia,umbral de importancia relativa,límite de cuantía,cuantía del litigio,negocios de cuantía,juicio de menor cuantía,cuantía semanal de la prestación",,wöchentliche Leistungssumme,"Wesentlichkeitsschwelle,Signifikanzschwelle,Relevanzgrenze,Toleranzschwelle,Streitwert,Bagatellverfahren,Verfahren in Bagatellsachen,wöchentliche Leistungssumme",,bedrag van de wekelijkse uitkering,"materialiteitsdrempel,foutentolerantie,drempelwaarde voor de materialiteit,procedure voor geringe vorderingen,bedrag van de wekelijkse uitkering",,1689539
LT1964302,consumo,"private consumption,final consumption of households,family expenditure,household expenditure,expenditure by households,household spending,private consumers'expenditure",the consumption of final goods by the household,consumo privado,"consumo privado,consumo final de los hogares",,privater Verbrauch,"privater Verbrauch,Endverbrauch der Haushalte,letzter Verbrauch der privaten Haushalte",,particulier verbruik,"particulier verbruik,eindverbruik in de gezinshuishoudingen,uiteindelijk verbruik van de gezinshuishouding,finaal verbruik door de gezinshuishoudingen,eindconsumptie in de gezinshuishoudingen,gezinsconsumptie,particuliere consumptie,finaal verbruik van gezinshuishoudingen",,1104470
LT1964302,consumo,"private consumption,final consumption of households,family expenditure,household expenditure,expenditure by households,household spending,private consumers'expenditure,consumer debt",amount owed by consumers at any time as the result of past acceptance of consumer credit,deuda de consumo,"consumo privado,consumo final de los hogares,deuda de consumo","Deuda contraída por un individuo, en oposición a la deuda pública, contraída por un gobierno.",Konsumentenschulden,"privater Verbrauch,Endverbrauch der Haushalte,letzter Verbrauch der privaten Haushalte,Konsumentenschulden",,particulier verbruik,"particulier verbruik,eindverbruik in de gezinshuishoudingen,uiteindelijk verbruik van de gezinshuishouding,finaal verbruik door de gezinshuishoudingen,eindconsumptie in de gezinshuishoudingen,gezinsconsumptie,particuliere consumptie,finaal verbruik van gezinshuishoudingen",,1568683
LT1964302,consumo,"private consumption,final consumption of households,family expenditure,household expenditure,expenditure by households,household spending,private consumers'expenditure,consumer debt,consumption aid",,ayuda al consumo,"consumo privado,consumo final de los hogares,deuda de consumo,ayuda al consumo",,Beihilfe zur Verbrauchsföerderung,"privater Verbrauch,Endverbrauch der Haushalte,letzter Verbrauch der privaten Haushalte,Konsumentenschulden,Beihilfe zur Verbrauchsföerderung",,consumptiesteun,"particulier verbruik,eindverbruik in de gezinshuishoudingen,uiteindelijk verbruik van de gezinshuishouding,finaal verbruik door de gezinshuishoudingen,eindconsumptie in de gezinshuishoudingen,gezinsconsumptie,particuliere consumptie,finaal verbruik van gezinshuishoudingen,consumptiesteun",,1078223
LT1964302,consumo,"private consumption,final consumption of households,family expenditure,household expenditure,expenditure by households,household spending,private consumers'expenditure,consumer debt,consumption aid,consumption sugar",,azúcar de consumo,"consumo privado,consumo final de los hogares,deuda de consumo,ayuda al consumo,azúcar de consumo",,Verbrauchszucker,"privater Verbrauch,Endverbrauch der Haushalte,letzter Verbrauch der privaten Haushalte,Konsumentenschulden,Beihilfe zur Verbrauchsföerderung,Verbrauchszucker",,consumptiesuiker,"particulier verbruik,eindverbruik in de gezinshuishoudingen,uiteindelijk verbruik van de gezinshuishouding,finaal verbruik door de gezinshuishoudingen,eindconsumptie in de gezinshuishoudingen,gezinsconsumptie,particuliere consumptie,finaal verbruik van gezinshuishoudingen,consumptiesteun,consumptiesuiker",,1227142
LT1964302,consumo,"private consumption,final consumption of households,family expenditure,household expenditure,expenditure by households,household spending,private consumers'expenditure,consumer debt,consumption aid,consumption sugar,biomass consumption",,consumo de biomasa,"consumo privado,consumo final de los hogares,deuda de consumo,ayuda al consumo,azúcar de consumo,consumo de biomasa",,Verbrauch der Biomasse,"privater Verbrauch,Endverbrauch der Haushalte,letzter Verbrauch der privaten Haushalte,Konsumentenschulden,Beihilfe zur Verbrauchsföerderung,Verbrauchszucker,Verbrauch der Biomasse",,verbruik van biomassa,"particulier verbruik,eindverbruik in de gezinshuishoudingen,uiteindelijk verbruik van de gezinshuishouding,finaal verbruik door de gezinshuishoudingen,eindconsumptie in de gezinshuishoudingen,gezinsconsumptie,particuliere consumptie,finaal verbruik van gezinshuishoudingen,consumptiesteun,consumptiesuiker,verbruik van biomassa",biomassa:de totale hoeveelheid levende stof van een bepaalde groep organismen,1138854
LT3876976,maternidad,maternity insurance,"social insurance scheme covering costs linked to pregnancy and confinement as well as providing benefits during pre- and post-natal leave, adoption leave, maternity leave and paternity leave, depending on the country",seguro de maternidad,seguro de maternidad,"Contingencia o rama de la Seguridad Social que recoge prestaciones económicas por maternidad. Estas prestaciones tratan de cubrir la pérdida de rentas del trabajo o de ingresos que sufren los trabajadores, por cuenta ajena o por cuenta propia, cuando se suspende su contrato o se interrumpe su actividad para disfrutar de los periodos de descanso por maternidad, adopción y acogimiento, legalmente establecidos. Las prestaciones en especie por maternidad suelen estar incluidas en el seguro de enfermedad o de asistencia sanitaria [ IATE:1196811 ].",Mutterschaftsversicherung,Mutterschaftsversicherung,,moederschapsverzekering,moederschapsverzekering,socialezekerheidsregeling die bepaalde kosten in verband met zwangerschap en bevalling vergoedt,2151718
LT3876976,maternidad,"maternity insurance,maternity leave",leave from work for mothers in the period immediately preceding and following birth,permiso de maternidad,"seguro de maternidad,permiso de maternidad,permiso por maternidad","Licencia a la que tiene derecho una mujer trabajadora antes y/o después del parto, con el mantenimiento de los derechos relacionados con el contrato de trabajo y de una remuneración y/o del beneficio de una prestación adecuada, por un tiempo ininterrumpido determinado por la legislación y las prácticas nacionales.",Mutterschaftsurlaub,"Mutterschaftsversicherung,Mutterschaftsurlaub","Arbeitsbefreiung ohne Unterbrechung, die Arbeitnehmerinnen entsprechend den einzelstaatlichen Rechtsvorschriften und Gepflogenheiten vor und/oder nach der Entbindung gewährt wird (Richtlinie des Rates 92/85/EWG vom 19.10.92,ABl. Nr.L 348/1)",moederschapsverlof,"moederschapsverzekering,moederschapsverlof,zwangerschaps- en bevallingsverlof,zwangerschapsverlof,moederschapsrust",verlof vóór en na de bevalling,777519
LT3876976,maternidad,"maternity insurance,maternity leave",leave from work for mothers in the period immediately preceding and following birth,seguro por maternidad,"seguro de maternidad,permiso de maternidad,permiso por maternidad,seguro por maternidad",,Mutterschaftsversicherung,"Mutterschaftsversicherung,Mutterschaftsurlaub,Mutterschaftsversicherung",Versicherung fuer den Fall der Mutterschaft,moederschapsverlof,"moederschapsverzekering,moederschapsverlof,zwangerschaps- en bevallingsverlof,zwangerschapsverlof,moederschapsrust",verlof vóór en na de bevalling,1391871
LT3876976,maternidad,"maternity insurance,maternity leave,Council Directive 92/85/EEC on the introduction of measures to encourage improvements in the safety and health at work of pregnant workers and workers who have recently given birth or are breastfeeding,maternity leave directive,Maternity Directive,Maternity Leave Directive",,"Directiva 92/85/CEE del Consejo relativa a la aplicación de medidas para promover la mejora de la seguridad y de la salud en el trabajo de la trabajadora embarazada, que haya dado a luz o en período de lactancia","seguro de maternidad,permiso de maternidad,permiso por maternidad,seguro por maternidad,Directiva 92/85/CEE del Consejo relativa a la aplicación de medidas para promover la mejora de la seguridad y de la salud en el trabajo de la trabajadora embarazada, que haya dado a luz o en período de lactancia,Directiva de maternidad,Directiva sobre el permiso de maternidad",,"Richtlinie 92/85/EWG über die Durchführung von Maßnahmen zur Verbesserung der Sicherheit und des Gesundheitsschutzes von schwangeren Arbeitnehmerinnen, Wöchnerinnen und stillenden Arbeitnehmerinnen am Arbeitsplatz","Mutterschaftsversicherung,Mutterschaftsurlaub,Mutterschaftsversicherung,Richtlinie 92/85/EWG über die Durchführung von Maßnahmen zur Verbesserung der Sicherheit und des Gesundheitsschutzes von schwangeren Arbeitnehmerinnen, Wöchnerinnen und stillenden Arbeitnehmerinnen am Arbeitsplatz,Mutterschaftsrichtlinie,Mutterschutzrichtlinie",,"Richtlijn 92/85/EEG inzake de tenuitvoerlegging van maatregelen ter bevordering van de verbetering van de veiligheid en de gezondheid op het werk van werkneemsters tijdens de zwangerschap, na de bevalling en tijdens de lactatie","moederschapsverzekering,moederschapsverlof,zwangerschaps- en bevallingsverlof,zwangerschapsverlof,moederschapsrust,Richtlijn 92/85/EEG inzake de tenuitvoerlegging van maatregelen ter bevordering van de verbetering van de veiligheid en de gezondheid op het werk van werkneemsters tijdens de zwangerschap, na de bevalling en tijdens de lactatie,moederschapsrichtlijn,richtlijn moederschapsverlof",,859538
LT3876976,maternidad,"maternity insurance,maternity leave,Council Directive 92/85/EEC on the introduction of measures to encourage improvements in the safety and health at work of pregnant workers and workers who have recently given birth or are breastfeeding,maternity leave directive,Maternity Directive,Maternity Leave Directive,income maintenance benefit in the event of childbirth",flat-rate or earnings-related payments intended to compensate the protected person for the loss of earnings due to absence from work in connection with childbirth for the period before and/or after confinement or in connection with adoption.The benefit may also be paid to the father,prestación de mantenimiento de renta en caso de parto,"seguro de maternidad,permiso de maternidad,permiso por maternidad,seguro por maternidad,Directiva 92/85/CEE del Consejo relativa a la aplicación de medidas para promover la mejora de la seguridad y de la salud en el trabajo de la trabajadora embarazada, que haya dado a luz o en período de lactancia,Directiva de maternidad,Directiva sobre el permiso de maternidad,prestación de mantenimiento de renta en caso de parto,prestación económica por maternidad",,Einkommenssicherung bei der Geburt,"Mutterschaftsversicherung,Mutterschaftsurlaub,Mutterschaftsversicherung,Richtlinie 92/85/EWG über die Durchführung von Maßnahmen zur Verbesserung der Sicherheit und des Gesundheitsschutzes von schwangeren Arbeitnehmerinnen, Wöchnerinnen und stillenden Arbeitnehmerinnen am Arbeitsplatz,Mutterschaftsrichtlinie,Mutterschutzrichtlinie,Einkommenssicherung bei der Geburt",,bevallingsuitkering ter vervanging van inkomsten,"moederschapsverzekering,moederschapsverlof,zwangerschaps- en bevallingsverlof,zwangerschapsverlof,moederschapsrust,Richtlijn 92/85/EEG inzake de tenuitvoerlegging van maatregelen ter bevordering van de verbetering van de veiligheid en de gezondheid op het werk van werkneemsters tijdens de zwangerschap, na de bevalling en tijdens de lactatie,moederschapsrichtlijn,richtlijn moederschapsverlof,bevallingsuitkering ter vervanging van inkomsten",,1690911
LT3785765,requisito,,,condición necesaria,condición necesaria,,Erfordernis,"Erfordernis,Voraussetzung,Anspruchsvoraussetzung",zu erfuellende Voraussetzung,,,,1392582
LT3785765,requisito,,,condición,"condición necesaria,condición",,Bedingung,"Erfordernis,Voraussetzung,Anspruchsvoraussetzung,Bedingung,Voraussetzung,Erfordernis",,,,,1392553
LT3785765,requisito,formal requirement,,requisito formal,"condición necesaria,condición,requisito formal,requisito de forma",,Formerfordernisse,"Erfordernis,Voraussetzung,Anspruchsvoraussetzung,Bedingung,Voraussetzung,Erfordernis,Formerfordernisse,Formvorschrift",,,,,1392568
LT3785765,requisito,"formal requirement,formal requirement",,requisito formal,"condición necesaria,condición,requisito formal,requisito de forma,requisito formal",,Formerfordernis,"Erfordernis,Voraussetzung,Anspruchsvoraussetzung,Bedingung,Voraussetzung,Erfordernis,Formerfordernisse,Formvorschrift,Formerfordernis",,,,,131201
LT3785765,requisito,"formal requirement,formal requirement,capital requirement,regulatory capital requirement,minimum capital requirement,own funds requirement,own-funds requirement,minimum own-funds requirement,minimum level of own funds,minimum own funds requirement,capital charge,capital adequacy requirement","standardised requirement in place for credit institutions and investment firms which determines the minimum amount of own financial resources they must hold in order to cover the risks to which they are exposed, the aim being to ensure the financial soundness of these institutions and thereby protect depositors and clients and the stability of the financial system",requisito de capital,"condición necesaria,condición,requisito formal,requisito de forma,requisito formal,requisito de capital,requisito de fondos propios,requerimiento de capital,requerimiento de recursos propios","Obligación legal impuesta a las entidades de crédito y empresas de servicios de inversión de disponer de unos niveles concretos de financiación propia, ajustados técnicamente a sus verdaderas necesidades y riesgos.",Eigenmittelanforderung,"Erfordernis,Voraussetzung,Anspruchsvoraussetzung,Bedingung,Voraussetzung,Erfordernis,Formerfordernisse,Formvorschrift,Formerfordernis,Eigenmittelanforderung,Regeln für die Eigenmitteldeckung,Vorschriften für die angemessene Eigenkapitalausstattung,Vorschriften für die Eigenmitteldeckung,Eigenkapitalanforderung,Mindesteigenkapitalanforderung,Kapitalanforderung","die Menge an Eigenkapital, die bei einem Kreditinstitut in Abhängigkeit vom Risiko der Kredite mindestens vorhanden sein muss, um dieses abdecken zu können",kapitaalvereiste,"kapitaalvereiste,kapitaalvereisten",het minimumbedrag aan eigen middelen waarover kredietinstellingen en beleggingsondernemingen moeten beschikken om de risico's waaraan zij zijn blootgesteld te kunnen dekken,856347
LT7897260,ampliaciones,mutual assistance may take the form of enlargements of quotas,,la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,,der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,,de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,,1233848
LT7897260,ampliaciones,"mutual assistance may take the form of enlargements of quotas,extension",,ampliación,"la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,ampliación",,Erweiterung,"der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,Erweiterung",,aanvulling,"de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,aanvulling",,3556338
LT7897260,ampliaciones,"mutual assistance may take the form of enlargements of quotas,extension,scaling up","expanding, adapting or replicating a policy, programme or project to broaden its scope or increase its impact or effectiveness",ampliación,"la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,ampliación,ampliación","Acción y efecto de desarrollar o adaptar una política, un programa o un proyecto para aumentar su repercusión o ampliar su alcance.",Umsetzung in größerem Maßstab,"der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,Erweiterung,Umsetzung in größerem Maßstab,Ausweitung",,opschalen,"de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,aanvulling,opschalen","op een gro­te­re schaal bren­gen, d.w.z. in kracht, groot­te, om­vang, uit­wer­king enz. doen toe­ne­men",140783
LT7897260,ampliaciones,"mutual assistance may take the form of enlargements of quotas,extension,scaling up,Working Party on Enlargement,Working Group on Enlargement",,"Grupo ""Ampliación""","la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,ampliación,ampliación,Grupo ""Ampliación""",Uno de los grupos de trabajo preparatorios del Consejo de Asuntos Generales.,"Gruppe ""Erweiterung""","der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,Erweiterung,Umsetzung in größerem Maßstab,Ausweitung,Gruppe ""Erweiterung""",,Groep uitbreiding,"de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,aanvulling,opschalen,Groep uitbreiding",,880164
LT7897260,ampliaciones,"mutual assistance may take the form of enlargements of quotas,extension,scaling up,Working Party on Enlargement,Working Group on Enlargement,enlargement process",,proceso de ampliación,"la asistencia mutua podrá revestir la forma de ampliaciones de los contingentes,ampliación,ampliación,Grupo ""Ampliación"",proceso de ampliación",,Erweiterungsprozess,"der gegenseitige Beistand kann durch Erweiterung von kontingenten erfolgen,Erweiterung,Umsetzung in größerem Maßstab,Ausweitung,Gruppe ""Erweiterung"",Erweiterungsprozess",,Groep uitbreiding,"de wederzijdse bijstand kan de vorm aannemen van verruiming van contingenten,aanvulling,opschalen,Groep uitbreiding",,2191137
LT7180286,cuyos,"escheated farm,escheat,heirless farm",,finca cuyos dueños no tienen herederos,finca cuyos dueños no tienen herederos,,verwaister Hof,"verwaister Hof,auslaufender Hof,Hof ohne Erben",,,,,259858
LT7180286,cuyos,"escheated farm,escheat,heirless farm,escheated farm,escheat,heirless farm",,finca cuyos titulares no tienen herederos,"finca cuyos dueños no tienen herederos,finca cuyos titulares no tienen herederos",,verwaister Hof,"verwaister Hof,auslaufender Hof,Hof ohne Erben,verwaister Hof,auslaufender Hof,Hof ohne Erben",,landbouwbedrijf zonder aanwijsbare erven,landbouwbedrijf zonder aanwijsbare erven,,1253191
LT7180286,cuyos,"escheated farm,escheat,heirless farm,escheated farm,escheat,heirless farm,all four texts being equally authentic",,cuyos cuatro textos son igualmente auténticos,"finca cuyos dueños no tienen herederos,finca cuyos titulares no tienen herederos,cuyos cuatro textos son igualmente auténticos",,wobei jeder Wortlaut gleichermassen verbindlich ist,"verwaister Hof,auslaufender Hof,Hof ohne Erben,verwaister Hof,auslaufender Hof,Hof ohne Erben,wobei jeder Wortlaut gleichermassen verbindlich ist",,zijnde de vier teksten gelijkelijk authentiek,"landbouwbedrijf zonder aanwijsbare erven,zijnde de vier teksten gelijkelijk authentiek",,1233469
LT7180286,cuyos,"escheated farm,escheat,heirless farm,escheated farm,escheat,heirless farm,all four texts being equally authentic,dual-career couple",,pareja cuyos miembros trabajan fuera del hogar,"finca cuyos dueños no tienen herederos,finca cuyos titulares no tienen herederos,cuyos cuatro textos son igualmente auténticos,pareja cuyos miembros trabajan fuera del hogar",,wobei jeder Wortlaut gleichermassen verbindlich ist,"verwaister Hof,auslaufender Hof,Hof ohne Erben,verwaister Hof,auslaufender Hof,Hof ohne Erben,wobei jeder Wortlaut gleichermassen verbindlich ist",,zijnde de vier teksten gelijkelijk authentiek,"landbouwbedrijf zonder aanwijsbare erven,zijnde de vier teksten gelijkelijk authentiek",,336932
LT7180286,cuyos,"escheated farm,escheat,heirless farm,escheated farm,escheat,heirless farm,all four texts being equally authentic,dual-career couple,Council Regulation (EC) No 539/2001 of 15 March 2001 listing the third countries whose nationals must be in possession of visas when crossing the external borders and those whose nationals are exempt from that requirement,Visa Regulation",,Reglamento de visados,"finca cuyos dueños no tienen herederos,finca cuyos titulares no tienen herederos,cuyos cuatro textos son igualmente auténticos,pareja cuyos miembros trabajan fuera del hogar,Reglamento de visados,Reglamento (CE) n.° 539/2001 del Consejo por el que se establecen la lista de terceros países cuyos nacionales están sometidos a la obligación de visado para cruzar las fronteras exteriores y la lista de terceros países cuyos nacionales están exentos de esa obligación",,"Verordnung zur Aufstellung der Liste der Drittländer, deren Staatsangehörige beim Überschreiten der Außengrenzen im Besitz eines Visums sein müssen, sowie der Liste der Drittländer, deren Staatsangehörige von dieser Visumpflicht befreit sind","verwaister Hof,auslaufender Hof,Hof ohne Erben,verwaister Hof,auslaufender Hof,Hof ohne Erben,wobei jeder Wortlaut gleichermassen verbindlich ist,Verordnung zur Aufstellung der Liste der Drittländer, deren Staatsangehörige beim Überschreiten der Außengrenzen im Besitz eines Visums sein müssen, sowie der Liste der Drittländer, deren Staatsangehörige von dieser Visumpflicht befreit sind,Visum-Verordnung,Visumverordnung",,Verordening (EG) nr. 539/2001 van de Raad tot vaststelling van de lĳst van derde landen waarvan de onderdanen bĳ overschrĳding van de buitengrenzen in het bezit moeten zĳn van een visum en de lĳst van derde landen waarvan de onderdanen van die plicht zĳn vrĳgesteld,"landbouwbedrijf zonder aanwijsbare erven,zijnde de vier teksten gelijkelijk authentiek,Verordening (EG) nr. 539/2001 van de Raad tot vaststelling van de lĳst van derde landen waarvan de onderdanen bĳ overschrĳding van de buitengrenzen in het bezit moeten zĳn van een visum en de lĳst van derde landen waarvan de onderdanen van die plicht zĳn vrĳgesteld,visumregelingen,visumverordening",,911047
