Question Spanish,Paragraph Spanish
¿Cuándo se pueden realizar contratos de duración determinada?,"Podrán celebrarse contratos de duración determinada en los siguientes supuestos:

a) Cuando se contrate al trabajador para la realización de una obra o servicio determinados, con autonomía y sustantividad propia dentro de la actividad de la empresa y cuya ejecución, aunque limitada en el tiempo, sea en principio de duración incierta. Estos contratos no podrán tener una duración superior a tres años ampliable hasta doce meses más por convenio colectivo de ámbito sectorial estatal o, en su defecto, por convenio colectivo sectorial de ámbito inferior. Transcurridos estos plazos, los trabajadores adquirirán la condición de trabajadores fijos de la empresa.

Los convenios colectivos sectoriales estatales y de ámbito inferior, incluidos los convenios de empresa, podrán identificar aquellos trabajos o tareas con sustantividad propia dentro de la actividad normal de la empresa que puedan cubrirse con contratos de esta naturaleza.

b) Cuando las circunstancias del mercado, acumulación de tareas o exceso de pedidos así lo exigieran, aun tratándose de la actividad normal de la empresa. En tales casos, los contratos podrán tener una duración máxima de seis meses, dentro de un periodo de doce meses, contados a partir del momento en que se produzcan dichas causas. Por convenio colectivo de ámbito sectorial estatal o, en su defecto, por convenio colectivo sectorial de ámbito inferior, podrá modificarse la duración máxima de estos contratos y el periodo dentro del cual se puedan realizar en atención al carácter estacional de la actividad en que dichas circunstancias se puedan producir. En tal supuesto, el periodo máximo dentro del cual se podrán realizar será de dieciocho meses, no pudiendo superar la duración del contrato las tres cuartas partes del periodo de referencia establecido ni, como máximo, doce meses.

En caso de que el contrato se hubiera concertado por una duración inferior a la máxima legal o convencionalmente establecida, podrá prorrogarse mediante acuerdo de las partes, por una única vez, sin que la duración total del contrato pueda exceder de dicha duración máxima.

Por convenio colectivo se podrán determinar las actividades en las que puedan contratarse trabajadores eventuales, así como fijar criterios generales relativos a la adecuada relación entre el volumen de esta modalidad contractual y la plantilla total de la empresa.

c) Cuando se trate de sustituir a trabajadores con derecho a reserva del puesto de trabajo, siempre que en el contrato de trabajo se especifique el nombre del sustituido y la causa de sustitución.
"
¿Qué efecto tiene un contrato temporal celebrado en fraude de ley?,Se presumirán por tiempo indefinido los contratos temporales celebrados en fraude de ley.
¿Cuándo se deben notificar los contratos determinados a la representación legal de los trabajadores?,Los empresarios habrán de notificar a la representación legal de los trabajadores en las empresas los contratos realizados de acuerdo con las modalidades de contratación por tiempo determinado previstas en este artículo cuando no exista obligación legal de entregar copia básica de los mismos.
¿Qué derechos tiene un trabajador con un contrato temporal?,"Los trabajadores con contratos temporales y de duración determinada tendrán los mismos derechos que los trabajadores con contratos de duración indefinida, sin perjuicio de las particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos. Cuando corresponda en atención a su naturaleza, tales derechos serán reconocidos en las disposiciones legales y reglamentarias y en los convenios colectivos de manera proporcional, en función del tiempo trabajado.

Cuando un determinado derecho o condición de trabajo esté atribuido en las disposiciones legales o reglamentarias y en los convenios colectivos en función de una previa antigüedad del trabajador, esta deberá computarse según los mismos criterios para todos los trabajadores, cualquiera que sea su modalidad de contratación.
El empresario deberá informar a los trabajadores de la empresa con contratos de duración determinada o temporales, incluidos los contratos formativos, sobre la existencia de puestos de trabajo vacantes, a fin de garantizarles las mismas oportunidades de acceder a puestos permanentes que los demás trabajadores. Esta información podrá facilitarse mediante un anuncio público en un lugar adecuado de la empresa o centro de trabajo, o mediante otros medios previstos en la negociación colectiva, que aseguren la transmisión de la información."
¿Qué derechos tiene un trabajador con un contrato de duración determinada?,"Los trabajadores con contratos temporales y de duración determinada tendrán los mismos derechos que los trabajadores con contratos de duración indefinida, sin perjuicio de las particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos. Cuando corresponda en atención a su naturaleza, tales derechos serán reconocidos en las disposiciones legales y reglamentarias y en los convenios colectivos de manera proporcional, en función del tiempo trabajado.

Cuando un determinado derecho o condición de trabajo esté atribuido en las disposiciones legales o reglamentarias y en los convenios colectivos en función de una previa antigüedad del trabajador, esta deberá computarse según los mismos criterios para todos los trabajadores, cualquiera que sea su modalidad de contratación.
El empresario deberá informar a los trabajadores de la empresa con contratos de duración determinada o temporales, incluidos los contratos formativos, sobre la existencia de puestos de trabajo vacantes, a fin de garantizarles las mismas oportunidades de acceder a puestos permanentes que los demás trabajadores. Esta información podrá facilitarse mediante un anuncio público en un lugar adecuado de la empresa o centro de trabajo, o mediante otros medios previstos en la negociación colectiva, que aseguren la transmisión de la información."
¿Qué características tiene un contrato fijo-discontinuo?,"1. El contrato por tiempo indefinido fijo-discontinuo se concertará para realizar trabajos que tengan el carácter de fijos-discontinuos y no se repitan en fechas ciertas, dentro del volumen normal de actividad de la empresa.

A los supuestos de trabajos discontinuos que se repitan en fechas ciertas les será de aplicación la regulación del contrato a tiempo parcial celebrado por tiempo indefinido.

2. Los trabajadores fijos-discontinuos serán llamados en el orden y la forma que se determine en los respectivos convenios colectivos, pudiendo el trabajador, en caso de incumplimiento, reclamar en procedimiento de despido ante la jurisdicción social, iniciándose el plazo para ello desde el momento en que tuviese conocimiento de la falta de convocatoria.

3. Este contrato se deberá formalizar necesariamente por escrito en el modelo que se establezca y en él deberá figurar una indicación sobre la duración estimada de la actividad, así como sobre la forma y orden de llamamiento que establezca el convenio colectivo aplicable, haciendo constar igualmente, de manera orientativa, la jornada laboral estimada y su distribución horaria.

4. Los convenios colectivos de ámbito sectorial podrán acordar, cuando las peculiaridades de la actividad del sector así lo justifiquen, la celebración a tiempo parcial de los contratos fijos-discontinuos, así como los requisitos y especialidades para la conversión de contratos temporales en contratos fijos-discontinuos.
"
¿Es posible la discriminación en las relaciones laborales?,"Se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del empresario que den lugar en el empleo, así como en materia de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación o condición sexual, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del Estado español.

Serán igualmente nulas las órdenes de discriminar y las decisiones del empresario que supongan un trato desfavorable de los trabajadores como reacción ante una reclamación efectuada en la empresa o ante una acción administrativa o judicial destinada a exigir el cumplimiento del principio de igualdad de trato y no discriminación.                                                                     
El empresario está obligado a pagar por la prestación de un trabajo de igual valor la misma retribución, satisfecha directa o indirectamente, y cualquiera que sea la naturaleza de la misma, salarial o extrasalarial, sin que pueda producirse discriminación alguna por razón de sexo en ninguno de los elementos o condiciones de aquella.
"
¿Es posible la discriminación en las relaciones laborales?,"Se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del empresario que den lugar en el empleo, así como en materia de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación o condición sexual, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del Estado español.

Serán igualmente nulas las órdenes de discriminar y las decisiones del empresario que supongan un trato desfavorable de los trabajadores como reacción ante una reclamación efectuada en la empresa o ante una acción administrativa o judicial destinada a exigir el cumplimiento del principio de igualdad de trato y no discriminación.                                                                     
El empresario está obligado a pagar por la prestación de un trabajo de igual valor la misma retribución, satisfecha directa o indirectamente, y cualquiera que sea la naturaleza de la misma, salarial o extrasalarial, sin que pueda producirse discriminación alguna por razón de sexo en ninguno de los elementos o condiciones de aquella.
"
¿Es posible realizar registros sobre el trabajador?,"Solo podrán realizarse registros sobre la persona del trabajador, en sus taquillas y efectos particulares, cuando sean necesarios para la protección del patrimonio empresarial y del de los demás trabajadores de la empresa, dentro del centro de trabajo y en horas de trabajo. En su realización se respetará al máximo la dignidad e intimidad del trabajador y se contará con la asistencia de un representante legal de los trabajadores o, en su ausencia del centro de trabajo, de otro trabajador de la empresa, siempre que ello fuera posible.
"
¿Qué derechos y obligaciones tiene un trabajador en materia de seguridad y salud en el trabajo?,"1. El trabajador, en la prestación de sus servicios, tendrá derecho a una protección eficaz en materia de seguridad y salud en el trabajo.

2. El trabajador está obligado a observar en su trabajo las medidas legales y reglamentarias de seguridad y salud en el trabajo.

3. En la inspección y control de dichas medidas que sean de observancia obligada por el empresario, el trabajador tiene derecho a participar por medio de sus representantes legales en el centro de trabajo, si no se cuenta con órganos o centros especializados competentes en la materia a tenor de la legislación vigente.
"
¿Es obligatorio realizar formación acerca de Prevención de Riesgos Laborales?,"El empresario está obligado a garantizar que cada trabajador reciba una formación teórica y práctica, suficiente y adecuada, en materia preventiva tanto en el momento de su contratación, cualquiera que sea la modalidad o duración de esta, como cuando se produzcan cambios en las funciones que desempeñe o se introduzcan nuevas tecnologías o cambios en los equipos de trabajo. El trabajador está obligado a seguir la formación y a realizar las prácticas. Todo ello en los términos señalados en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo, en cuanto les sean de aplicación.
"
¿Cuál es la obligación de los delegados de prevención o representantes legales de los trabajadores en materia de seguridad y salud en el trabajo?,"Los delegados de prevención y, en su defecto, los representantes legales de los trabajadores en el centro de trabajo, que aprecien una probabilidad seria y grave de accidente por la inobservancia de la legislación aplicable en la materia, requerirán al empresario por escrito para que adopte las medidas oportunas que hagan desaparecer el estado de riesgo; si la petición no fuese atendida en un plazo de cuatro días, se dirigirán a la autoridad competente; esta, si apreciase las circunstancias alegadas, mediante resolución fundada, requerirá al empresario para que adopte las medidas de seguridad apropiadas o que suspenda sus actividades en la zona o local de trabajo o con el material en peligro. También podrá ordenar, con los informes técnicos precisos, la paralización inmediata del trabajo si se estima un riesgo grave de accidente.

Si el riesgo de accidente fuera inminente, la paralización de las actividades podrá ser acordada por los representantes de los trabajadores, por mayoría de sus miembros. Tal acuerdo podrá ser adoptado por decisión mayoritaria de los delegados de prevención cuando no resulte posible reunir con la urgencia requerida al órgano de representación del personal. El acuerdo será comunicado de inmediato a la empresa y a la autoridad laboral, la cual, en veinticuatro horas, anulará o ratificará la paralización acordada.
"
¿Cuáles son los poderes de dirección y control del empresario en la actividad laboral?,"1. El trabajador estará obligado a realizar el trabajo convenido bajo la dirección del empresario o persona en quien este delegue.

2. En el cumplimiento de la obligación de trabajar asumida en el contrato, el trabajador debe al empresario la diligencia y la colaboración en el trabajo que marquen las disposiciones legales, los convenios colectivos y las órdenes o instrucciones adoptadas por aquel en el ejercicio regular de sus facultades de dirección y, en su defecto, por los usos y costumbres. En cualquier caso, el trabajador y el empresario se someterán en sus prestaciones recíprocas a las exigencias de la buena fe.

3. El empresario podrá adoptar las medidas que estime más oportunas de vigilancia y control para verificar el cumplimiento por el trabajador de sus obligaciones y deberes laborales, guardando en su adopción y aplicación la consideración debida a su dignidad y teniendo en cuenta, en su caso, la capacidad real de los trabajadores con discapacidad.

4. El empresario podrá verificar el estado de salud del trabajador que sea alegado por este para justificar sus faltas de asistencia al trabajo, mediante reconocimiento a cargo de personal médico. La negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos económicos que pudieran existir a cargo del empresario por dichas situaciones.
"
¿Puede el trabajador tener una prestación laboral para diferentes empresarios?,"No podrá efectuarse la prestación laboral de un trabajador para diversos empresarios cuando se estime concurrencia desleal o cuando se pacte la plena dedicación mediante compensación económica expresa, en los términos que al efecto se convengan.
"
¿Cuáles son las características de un pacto de no concurrencia posterior a la extinción del contrato?,"El pacto de no competencia para después de extinguido el contrato de trabajo, que no podrá tener una duración superior a dos años para los técnicos y de seis meses para los demás trabajadores, solo será válido si concurren los requisitos siguientes:

a) Que el empresario tenga un efectivo interés industrial o comercial en ello.

b) Que se satisfaga al trabajador una compensación económica adecuada.
"
¿Cuál es el régimen de la compensación económica por plena dedicación del trabajador?,"En el supuesto de compensación económica por la plena dedicación, el trabajador podrá rescindir el acuerdo y recuperar su libertad de trabajo en otro empleo, comunicándolo por escrito al empresario con un preaviso de treinta días, perdiéndose en este caso la compensación económica u otros derechos vinculados a la plena dedicación."
¿Tendrá derecho el empresario a percibir una compensación económica por especialización profesional si se abandona el trabajo?,"Cuando el trabajador haya recibido una especialización profesional con cargo al empresario para poner en marcha proyectos determinados o realizar un trabajo específico, podrá pactarse entre ambos la permanencia en dicha empresa durante cierto tiempo. El acuerdo no será de duración superior a dos años y se formalizará siempre por escrito. Si el trabajador abandona el trabajo antes del plazo, el empresario tendrá derecho a una indemnización de daños y perjuicios."
¿Cuáles son las reglas del sistema de clasificación profesional?,"1. Mediante la negociación colectiva o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales.

2. Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador.

3. La definición de los grupos profesionales se ajustará a criterios y sistemas que tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres.

4. Por acuerdo entre el trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas. Cuando se acuerde la polivalencia funcional o la realización de funciones propias de más de un grupo, la equiparación se realizará en virtud de las funciones que se desempeñen durante mayor tiempo.
"
¿Qué derechos tiene el trabajador respecto a la promoción y formación profesional en el trabajo?,"1. El trabajador tendrá derecho:

a) Al disfrute de los permisos necesarios para concurrir a exámenes, así como a una preferencia a elegir turno de trabajo, si tal es el régimen instaurado en la empresa, cuando curse con regularidad estudios para la obtención de un título académico o profesional.

b) A la adaptación de la jornada ordinaria de trabajo para la asistencia a cursos de formación profesional.

c) A la concesión de los permisos oportunos de formación o perfeccionamiento profesional con reserva del puesto de trabajo.

d) A la formación necesaria para su adaptación a las modificaciones operadas en el puesto de trabajo. La misma correrá a cargo de la empresa, sin perjuicio de la posibilidad de obtener a tal efecto los créditos destinados a la formación. El tiempo destinado a la formación se considerará en todo caso tiempo de trabajo efectivo.

2. En la negociación colectiva se pactarán los términos del ejercicio de estos derechos, que se acomodarán a criterios y sistemas que garanticen la ausencia de discriminación, tanto directa como indirecta, entre trabajadores de uno y otro sexo.

3. Los trabajadores con al menos un año de antigüedad en la empresa tienen derecho a un permiso retribuido de veinte horas anuales de formación profesional para el empleo, vinculada a la actividad de la empresa, acumulables por un periodo de hasta cinco años. El derecho se entenderá cumplido en todo caso cuando el trabajador pueda realizar las acciones formativas dirigidas a la obtención de la formación profesional para el empleo en el marco de un plan de formación desarrollado por iniciativa empresarial o comprometido por la negociación colectiva. Sin perjuicio de lo anterior, no podrá comprenderse en el derecho a que se refiere este apartado la formación que deba obligatoriamente impartir la empresa a su cargo conforme a lo previsto en otras leyes. En defecto de lo previsto en convenio colectivo, la concreción del modo de disfrute del permiso se fijará de mutuo acuerdo entre trabajador y empresario.

"
¿Cómo se regulan los ascensos?,"1. Los ascensos dentro del sistema de clasificación profesional se producirán conforme a lo que se establezca en convenio o, en su defecto, en acuerdo colectivo entre la empresa y los representantes de los trabajadores.

En todo caso los ascensos se producirán teniendo en cuenta la formación, méritos, antigüedad del trabajador, así como las facultades organizativas del empresario.

2. Los ascensos y la promoción profesional en la empresa se ajustarán a criterios y sistemas que tengan como objetivo garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres, pudiendo establecerse medidas de acción positiva dirigidas a eliminar o compensar situaciones de discriminación.
"
¿Cómo se regula la promoción económica?,"1. El trabajador, en función del trabajo desarrollado, podrá tener derecho a una promoción económica en los términos fijados en convenio colectivo o contrato individual.

2. Lo dispuesto en el apartado anterior se entiende sin perjuicio de los derechos adquiridos o en curso de adquisición en el tramo temporal correspondiente.
"
¿Qué se considera salario?,"1. Se considerará salario la totalidad de las percepciones económicas de los trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo.

En ningún caso, incluidas las relaciones laborales de carácter especial a que se refiere el artículo 2, el salario en especie podrá superar el treinta por ciento de las percepciones salariales del trabajador, ni dar lugar a la minoración de la cuantía íntegra en dinero del salario mínimo interprofesional.

2. No tendrán la consideración de salario las cantidades percibidas por el trabajador en concepto de indemnizaciones o suplidos por los gastos realizados como consecuencia de su actividad laboral, las prestaciones e indemnizaciones de la Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos.
"
¿Qué debe comprender el salario?,"Mediante la negociación colectiva o, en su defecto, el contrato individual, se determinará la estructura del salario, que deberá comprender el salario base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten. Igualmente se pactará el carácter consolidable o no de dichos complementos salariales, no teniendo el carácter de consolidables, salvo acuerdo en contrario, los que estén vinculados al puesto de trabajo o a la situación y resultados de la empresa."
¿Quién satisface las cargas fiscales y de Seguridad Social a cargo del trabajador?,"Todas las cargas fiscales y de Seguridad Social a cargo del trabajador serán satisfechas por el mismo, siendo nulo todo pacto en contrario."
¿Cómo se fija el Salario Mínimo Interprofesional?,"1. El Gobierno fijará, previa consulta con las organizaciones sindicales y asociaciones empresariales más representativas, anualmente, el salario mínimo interprofesional, teniendo en cuenta:

a) El índice de precios de consumo.

b) La productividad media nacional alcanzada.

c) El incremento de la participación del trabajo en la renta nacional.

d) La coyuntura económica general.

Igualmente se fijará una revisión semestral para el caso de que no se cumplan las previsiones sobre el índice de precios citado.

La revisión del salario mínimo interprofesional no afectará a la estructura ni a la cuantía de los salarios profesionales cuando estos, en su conjunto y cómputo anual, fueran superiores a aquel.

2. El salario mínimo interprofesional, en su cuantía, es inembargable.
"
¿Cómo se liquida y se paga el salario?,"1. La liquidación y el pago del salario se harán puntual y documentalmente en la fecha y lugar convenidos o conforme a los usos y costumbres. El periodo de tiempo a que se refiere el abono de las retribuciones periódicas y regulares no podrá exceder de un mes.

El trabajador y, con su autorización, sus representantes legales, tendrán derecho a percibir, sin que llegue el día señalado para el pago, anticipos a cuenta del trabajo ya realizado.

La documentación del salario se realizará mediante la entrega al trabajador de un recibo individual y justificativo del pago del mismo. El recibo de salarios se ajustará al modelo que apruebe el Ministerio de Empleo y Seguridad Social, salvo que por convenio colectivo o, en su defecto, por acuerdo entre la empresa y los representantes de los trabajadores, se establezca otro modelo que contenga con la debida claridad y separación las diferentes percepciones del trabajador, así como las deducciones que legalmente procedan.

La liquidación de los salarios que correspondan a quienes presten servicios en trabajos que tengan el carácter de fijos-discontinuos, en los supuestos de conclusión de cada periodo de actividad, se llevará a cabo con sujeción a los trámites y garantías establecidos en el artículo 49.2.

2. El derecho al salario a comisión nacerá en el momento de realizarse y pagarse el negocio, la colocación o venta en que hubiera intervenido el trabajador, liquidándose y pagándose, salvo que se hubiese pactado otra cosa, al finalizar el año.

El trabajador y sus representantes legales pueden pedir en cualquier momento comunicaciones de la parte de los libros referentes a tales devengos.

3. El interés por mora en el pago del salario será el diez por ciento de lo adeudado.

4. El salario, así como el pago delegado de las prestaciones de la Seguridad Social, podrá efectuarlo el empresario en moneda de curso legal o mediante cheque u otra modalidad de pago similar a través de entidades de crédito, previo informe al comité de empresa o delegados de personal.
"
¿Cómo se regulan las gratificaciones extraordinarias?,"El trabajador tiene derecho a dos gratificaciones extraordinarias al año, una de ellas con ocasión de las fiestas de Navidad y la otra en el mes que se fije por convenio colectivo o por acuerdo entre el empresario y los representantes legales de los trabajadores. Igualmente se fijará por convenio colectivo la cuantía de tales gratificaciones.

No obstante, podrá acordarse en convenio colectivo que las gratificaciones extraordinarias se prorrateen en las doce mensualidades.
"
¿Cuáles son las garantías de las que goza el salario?,"1. Los créditos salariales por los últimos treinta días de trabajo y en cuantía que no supere el doble del salario mínimo interprofesional gozarán de preferencia sobre cualquier otro crédito, aunque este se encuentre garantizado por prenda o hipoteca.

2. Los créditos salariales gozarán de preferencia sobre cualquier otro crédito respecto de los objetos elaborados por los trabajadores mientras sean propiedad o estén en posesión del empresario.

3. Los créditos por salarios no protegidos en los apartados anteriores tendrán la condición de singularmente privilegiados en la cuantía que resulte de multiplicar el triple del salario mínimo interprofesional por el número de días del salario pendientes de pago, gozando de preferencia sobre cualquier otro crédito, excepto los créditos con derecho real, en los supuestos en los que estos, con arreglo a la ley, sean preferentes. La misma consideración tendrán las indemnizaciones por despido en la cuantía correspondiente al mínimo legal calculada sobre una base que no supere el triple del salario mínimo.

4. El plazo para ejercitar los derechos de preferencia del crédito salarial es de un año, a contar desde el momento en que debió percibirse el salario, transcurrido el cual prescribirán tales derechos.

5. Las preferencias reconocidas en los apartados precedentes serán de aplicación en todos los supuestos en los que, no hallándose el empresario declarado en concurso, los correspondientes créditos concurran con otro u otros sobre bienes de aquel. En caso de concurso, serán de aplicación las disposiciones de la Ley 22/2003, de 9 de julio, Concursal, relativas a la clasificación de los créditos y a las ejecuciones y apremios.
"
¿Qué es el Fondo de Garantía Salarial?,"1. El Fondo de Garantía Salarial, organismo autónomo adscrito al Ministerio de Empleo y Seguridad Social, con personalidad jurídica y capacidad de obrar para el cumplimiento de sus fines, abonará a los trabajadores el importe de los salarios pendientes de pago a causa de insolvencia o concurso del empresario.

A los anteriores efectos, se considerará salario la cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos los conceptos a que se refiere el artículo 26.1, así como los salarios de tramitación en los supuestos en que legalmente procedan, sin que pueda el Fondo abonar, por uno u otro concepto, conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días de salario pendiente de pago, con un máximo de ciento veinte días.
"
¿Cuáles son las características de la jornada de trabajo?,"1. La duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo.

La duración máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual.

2. Mediante convenio colectivo o, en su defecto, por acuerdo entre la empresa y los representantes de los trabajadores, se podrá establecer la distribución irregular de la jornada a lo largo del año. En defecto de pacto, la empresa podrá distribuir de manera irregular a lo largo del año el diez por ciento de la jornada de trabajo.

Dicha distribución deberá respetar en todo caso los periodos mínimos de descanso diario y semanal previstos en la ley y el trabajador deberá conocer con un preaviso mínimo de cinco días el día y la hora de la prestación de trabajo resultante de aquella.

La compensación de las diferencias, por exceso o por defecto, entre la jornada realizada y la duración máxima de la jornada ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre la empresa y los representantes de los trabajadores. En defecto de pacto, las diferencias derivadas de la distribución irregular de la jornada deberán quedar compensadas en el plazo de doce meses desde que se produzcan.

3. Entre el final de una jornada y el comienzo de la siguiente mediarán, como mínimo, doce horas.

El número de horas ordinarias de trabajo efectivo no podrá ser superior a nueve diarias, salvo que por convenio colectivo o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establezca otra distribución del tiempo de trabajo diario, respetando en todo caso el descanso entre jornadas.

Los trabajadores menores de dieciocho años no podrán realizar más de ocho horas diarias de trabajo efectivo, incluyendo, en su caso, el tiempo dedicado a la formación y, si trabajasen para varios empleadores, las horas realizadas con cada uno de ellos.

4. Siempre que la duración de la jornada diaria continuada exceda de seis horas, deberá establecerse un periodo de descanso durante la misma de duración no inferior a quince minutos. Este periodo de descanso se considerará tiempo de trabajo efectivo cuando así esté establecido o se establezca por convenio colectivo o contrato de trabajo.

En el caso de los trabajadores menores de dieciocho años, el periodo de descanso tendrá una duración mínima de treinta minutos, y deberá establecerse siempre que la duración de la jornada diaria continuada exceda de cuatro horas y media.
"
"¿El trabajador tiene derecho a adaptar la jornada de trabajo para conciliar su vida personal, familiar y laboral?","El trabajador tendrá derecho a adaptar la duración y distribución de la jornada de trabajo para hacer efectivo su derecho a la conciliación de la vida personal, familiar y laboral en los términos que se establezcan en la negociación colectiva o en el acuerdo a que llegue con el empresario respetando, en su caso, lo previsto en aquella.

A tal fin, se promoverá la utilización de la jornada continuada, el horario flexible u otros modos de organización del tiempo de trabajo y de los descansos que permitan la mayor compatibilidad entre el derecho a la conciliación de la vida personal, familiar y laboral de los trabajadores y la mejora de la productividad en las empresas.
"
¿Cómo se regulan las horas extraordinarias?,"1. Tendrán la consideración de horas extraordinarias aquellas horas de trabajo que se realicen sobre la duración máxima de la jornada ordinaria de trabajo, fijada de acuerdo con el artículo anterior. Mediante convenio colectivo o, en su defecto, contrato individual, se optará entre abonar las horas extraordinarias en la cuantía que se fije, que en ningún caso podrá ser inferior al valor de la hora ordinaria, o compensarlas por tiempos equivalentes de descanso retribuido. En ausencia de pacto al respecto, se entenderá que las horas extraordinarias realizadas deberán ser compensadas mediante descanso dentro de los cuatro meses siguientes a su realización.

2. El número de horas extraordinarias no podrá ser superior a ochenta al año, salvo lo previsto en el apartado 3. Para los trabajadores que por la modalidad o duración de su contrato realizasen una jornada en cómputo anual inferior a la jornada general en la empresa, el número máximo anual de horas extraordinarias se reducirá en la misma proporción que exista entre tales jornadas.

A los efectos de lo dispuesto en el párrafo anterior, no se computarán las horas extraordinarias que hayan sido compensadas mediante descanso dentro de los cuatro meses siguientes a su realización.

El Gobierno podrá suprimir o reducir el número máximo de horas extraordinarias por tiempo determinado, con carácter general o para ciertas ramas de actividad o ámbitos territoriales, para incrementar las oportunidades de colocación de los trabajadores en situación de desempleo.

3. No se tendrá en cuenta, a efectos de la duración máxima de la jornada ordinaria laboral, ni para el cómputo del número máximo de las horas extraordinarias autorizadas, el exceso de las trabajadas para prevenir o reparar siniestros y otros daños extraordinarios y urgentes, sin perjuicio de su compensación como horas extraordinarias.

4. La prestación de trabajo en horas extraordinarias será voluntaria, salvo que su realización se haya pactado en convenio colectivo o contrato individual de trabajo, dentro de los límites del apartado 2.

5. A efectos del cómputo de horas extraordinarias, la jornada de cada trabajador se registrará día a día y se totalizará en el periodo fijado para el abono de las retribuciones, entregando copia del resumen al trabajador en el recibo correspondiente.
"
¿Qué se entiende como trabajo nocturno?,Se considera trabajo nocturno el realizado entre las diez de la noche y las seis de la mañana.
¿Cuáles son los requisitos en el caso de tener trabajadores nocturnos?,"El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral.

La jornada de trabajo de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un periodo de referencia de quince días. Dichos trabajadores no podrán realizar horas extraordinarias.

Para la aplicación de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual.

Resultará de aplicación a lo establecido en el párrafo segundo lo dispuesto en el artículo 34.7 Igualmente, el Gobierno podrá establecer limitaciones y garantías adicionales a las previstas en el presente artículo para la realización de trabajo nocturno en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad.

2. El trabajo nocturno tendrá una retribución específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos.
"
