oficina pública dependiente de la autoridad laboral,"Los promotores comunicarán a la empresa y a la oficina pública dependiente de la autoridad laboral su propósito de celebrar elecciones con un plazo mínimo de, al menos, un mes de antelación al inicio del proceso electoral. En dicha comunicación los promotores deberán identificar con precisión la empresa y el centro de trabajo de esta en que se desea celebrar el proceso electoral y la fecha de inicio de este, que será la de constitución de la mesa electoral y que, en todo caso, no podrá comenzar antes de un mes ni más allá de tres meses contabilizados a partir del registro de la comunicación en la oficina pública dependiente de la autoridad laboral. Esta oficina pública, dentro del siguiente día hábil, expondrá en el tablón de anuncios los preavisos presentados, facilitando copia de los mismos a los sindicatos que así lo soliciten.
",47,98
periodo de suspensión,"Cuando el periodo de vacaciones fijado en el calendario de vacaciones de la empresa al que se refiere el párrafo anterior coincida en el tiempo con una incapacidad temporal derivada del embarazo, el parto o la lactancia natural o con el periodo de suspensión del contrato de trabajo previsto en los apartados 4, 5 y 7 del artículo 48, se tendrá derecho a disfrutar las vacaciones en fecha distinta a la de la incapacidad temporal o a la del disfrute del permiso que por aplicación de dicho precepto le correspondiera, al finalizar el periodo de suspensión, aunque haya terminado el año natural a que correspondan.
",237,258
horas extraordinarias,"3. Se prohíbe realizar horas extraordinarias a los menores de dieciocho años.
",23,44
contrato para la formación,"2. El contrato para la formación y el aprendizaje tendrá por objeto la cualificación profesional de los trabajadores en un régimen de alternancia de actividad laboral retribuida en una empresa con actividad formativa recibida en el marco del sistema de formación profesional para el empleo o del sistema educativo.
",6,32
Fondo de Garantía Salarial,"h) La acción protectora de la Seguridad Social del trabajador contratado para la formación y el aprendizaje comprenderá todas las contingencias protegibles y prestaciones, incluido el desempleo. Asimismo, se tendrá derecho a la cobertura del Fondo de Garantía Salarial.
",242,268
contratos para la formación y el aprendizaje,"No se podrán celebrar contratos para la formación y el aprendizaje cuando el puesto de trabajo correspondiente al contrato haya sido desempeñado con anterioridad por el trabajador en la misma empresa por tiempo superior a doce meses.
",22,66
causas económicas,"e) La conversión de un trabajo a tiempo completo en un trabajo parcial y viceversa tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo 41.1.a). El trabajador no podrá ser despedido ni sufrir ningún otro tipo de sanción o efecto perjudicial por el hecho de rechazar esta conversión, sin perjuicio de las medidas que, de conformidad con lo dispuesto en los artículos 51 y 52.c), puedan adoptarse por causas económicas, técnicas, organizativas o de producción.
",560,577
contrato a tiempo parcial,"2. El contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita la utilización de esta modalidad de contratación, excepto en el contrato para la formación y el aprendizaje.
",6,31
duración del contrato,"b) La duración del contrato no podrá ser inferior a seis meses ni exceder de dos años, dentro de cuyos límites los convenios colectivos de ámbito sectorial estatal o, en su defecto, los convenios colectivos sectoriales de ámbito inferior podrán determinar la duración del contrato, atendiendo a las características del sector y de las prácticas a realizar.
",6,27
periodo de prueba,"d) Salvo lo dispuesto en convenio colectivo, el periodo de prueba no podrá ser superior a un mes para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado medio o de certificado de profesionalidad de nivel 1 o 2, ni a dos meses para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado superior o de certificado de profesionalidad de nivel 3.
",48,65
modificaciones sustanciales,"4. El cambio de funciones distintas de las pactadas no incluido en los supuestos previstos en este artículo requerirá el acuerdo de las partes o, en su defecto, el sometimiento a las reglas previstas para las modificaciones sustanciales de condiciones de trabajo o a las que a tal fin se hubieran establecido en convenio colectivo.
",209,236
disposiciones legales,"El artículo Uno.d) de la Ley 20/2014, de 29 de octubre, por la que se delega en el Gobierno la potestad de dictar diversos textos refundidos, en virtud de lo establecido en el artículo 82 y siguientes de la Constitución Española, autorizó al Gobierno para aprobar un texto refundido en el que se integrasen, debidamente regularizadas, aclaradas y armonizadas, el texto refundido de la Ley del Estatuto de los Trabajadores, aprobado mediante Real Decreto Legislativo 1/1995, de 24 de marzo, y todas las disposiciones legales relacionadas que se enumeran en ese apartado, así como las normas con rango de ley que las hubieren modificado. El plazo para la realización de dicho texto era de doce meses a partir de la entrada en vigor de la citada Ley 20/2014, que tuvo lugar el 31 de octubre de 2014.
",502,523
ámbito estatal,"En caso de desacuerdo durante el periodo de consultas cualquiera de las partes podrá someter la discrepancia a la comisión del convenio, que dispondrá de un plazo máximo de siete días para pronunciarse, a contar desde que la discrepancia le fuera planteada. Cuando no se hubiera solicitado la intervención de la comisión o esta no hubiera alcanzado un acuerdo, las partes deberán recurrir a los procedimientos que se hayan establecido en los acuerdos interprofesionales de ámbito estatal o autonómico, previstos en el artículo 83, para solventar de manera efectiva las discrepancias surgidas en la negociación de los acuerdos a que se refiere este apartado, incluido el compromiso previo de someter las discrepancias a un arbitraje vinculante, en cuyo caso el laudo arbitral tendrá la misma eficacia que los acuerdos en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.
",473,487
grupo profesional,"3. Los trabajadores a distancia tendrán los mismos derechos que los que prestan sus servicios en el centro de trabajo de la empresa, salvo aquellos que sean inherentes a la realización de la prestación laboral en el mismo de manera presencial. En especial, el trabajador a distancia tendrá derecho a percibir, como mínimo, la retribución total establecida conforme a su grupo profesional y funciones.
",370,387
duración máxima,"En caso de que el contrato se hubiera concertado por una duración inferior a la máxima legal o convencionalmente establecida, podrá prorrogarse mediante acuerdo de las partes, hasta por dos veces, sin que la duración de cada prórroga pueda ser inferior a seis meses y sin que la duración total del contrato pueda exceder de dicha duración máxima.
",330,345
concursal,"3. En caso de procedimientos concursales, desde el momento en que se tenga conocimiento de la existencia de créditos laborales o se presuma la posibilidad de su existencia, el juez, de oficio o a instancia de parte, citará al Fondo de Garantía Salarial, sin cuyo requisito no asumirá este las obligaciones señaladas en los apartados anteriores. El Fondo se personará en el expediente como responsable legal subsidiario del pago de los citados créditos, pudiendo instar lo que a su derecho convenga y sin perjuicio de que, una vez realizado, continúe como acreedor en el expediente. A los efectos del abono por el Fondo de las cantidades que resulten reconocidas a favor de los trabajadores, se tendrán en cuenta las reglas siguientes:
",29,38
modificaciones sustanciales de las condiciones,"1. La dirección de la empresa podrá acordar modificaciones sustanciales de las condiciones de trabajo cuando existan probadas razones económicas, técnicas, organizativas o de producción. Se considerarán tales las que estén relacionadas con la competitividad, productividad u organización técnica o del trabajo en la empresa.
",44,90
cedente,"5. Las preferencias reconocidas en los apartados precedentes serán de aplicación en todos los supuestos en los que, no hallándose el empresario declarado en concurso, los correspondientes créditos concurran con otro u otros sobre bienes de aquel. En caso de concurso, serán de aplicación las disposiciones de la Ley 22/2003, de 9 de julio, Concursal, relativas a la clasificación de los créditos y a las ejecuciones y apremios.
",52,59
constitución de la comisión representativa,"La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del procedimiento de consultas. A estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días.
",355,397
fuerza mayor,"7. La concreción horaria y la determinación de los permisos y reducciones de jornada, previstos en los apartados 4, 5 y 6, corresponderán a la persona trabajadora dentro de su jornada ordinaria. No obstante, los convenios colectivos podrán establecer criterios para la concreción horaria de la reducción de jornada a que se refiere el apartado 6, en atención a los derechos de conciliación de la vida personal, familiar y laboral de la persona trabajadora y las necesidades productivas y organizativas de las empresas. La persona trabajadora, salvo fuerza mayor, deberá preavisar al empresario con una antelación de quince días o la que se determine en el convenio colectivo aplicable, precisando la fecha en que iniciará y finalizará el permiso de cuidado del lactante o la reducción de jornada.
",549,561
contrato de relevo,"Artículo 12. Contrato a tiempo parcial y contrato de relevo.
",41,59
suspensión del contrato,"Cuando el periodo de vacaciones fijado en el calendario de vacaciones de la empresa al que se refiere el párrafo anterior coincida en el tiempo con una incapacidad temporal derivada del embarazo, el parto o la lactancia natural o con el periodo de suspensión del contrato de trabajo previsto en los apartados 4, 5 y 7 del artículo 48, se tendrá derecho a disfrutar las vacaciones en fecha distinta a la de la incapacidad temporal o a la del disfrute del permiso que por aplicación de dicho precepto le correspondiera, al finalizar el periodo de suspensión, aunque haya terminado el año natural a que correspondan.
",248,271
extintiva,"La autoridad laboral podrá impugnar los acuerdos adoptados en el periodo de consultas cuando estime que estos se han alcanzado mediante fraude, dolo, coacción o abuso de derecho a efectos de su posible declaración de nulidad, así como cuando la entidad gestora de las prestaciones por desempleo hubiese informado de que la decisión extintiva empresarial pudiera tener por objeto la obtención indebida de las prestaciones por parte de los trabajadores afectados por inexistencia de la causa motivadora de la situación legal de desempleo.
",332,341
legitimación,"Estas cláusulas podrán igualmente pactarse en convenios o acuerdos colectivos sectoriales, de ámbito estatal o autonómico, por aquellos sindicatos y asociaciones empresariales que cuenten con la legitimación necesaria, de conformidad con lo establecido en esta ley.
",195,207
decisión extintiva,"La autoridad laboral podrá impugnar los acuerdos adoptados en el periodo de consultas cuando estime que estos se han alcanzado mediante fraude, dolo, coacción o abuso de derecho a efectos de su posible declaración de nulidad, así como cuando la entidad gestora de las prestaciones por desempleo hubiese informado de que la decisión extintiva empresarial pudiera tener por objeto la obtención indebida de las prestaciones por parte de los trabajadores afectados por inexistencia de la causa motivadora de la situación legal de desempleo.
",323,341
clasificación profesional,"Asimismo, la negociación colectiva podrá establecer este tipo de medidas en las condiciones de clasificación profesional, promoción y formación, de modo que, en igualdad de condiciones de idoneidad, tengan preferencia las personas del sexo menos representado para favorecer su acceso al grupo profesional o puesto de trabajo de que se trate.
",95,120
contratos de duración,"Podrán celebrarse contratos de duración determinada en los siguientes supuestos:
",18,39
incapacidad temporal,"Las situaciones de incapacidad temporal, nacimiento, adopción, guarda con fines de adopción, acogimiento, riesgo durante el embarazo, riesgo durante la lactancia y violencia de género interrumpirán el cómputo de la duración del contrato.
",19,39
texto refundido de la Ley General de la Seguridad,"6. Para que el trabajador pueda acceder a la jubilación parcial, en los términos establecidos en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente. También se podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
",100,149
representación de los trabajadores,"El empresario y la representación de los trabajadores podrán acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo.
",19,53
dicho periodo,"El empresario y la representación de los trabajadores podrán acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo.
",335,348
Ley General de la Seguridad Social,"6. Para que el trabajador pueda acceder a la jubilación parcial, en los términos establecidos en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente. También se podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
",122,156
contratos formativos,"3. En la negociación colectiva se fijarán criterios y procedimientos tendentes a conseguir una presencia equilibrada de hombres y mujeres vinculados a la empresa mediante contratos formativos. Asimismo, podrán establecerse compromisos de conversión de los contratos formativos en contratos por tiempo indefinido.
",171,191
texto refundido de la Ley General,"6. Para que el trabajador pueda acceder a la jubilación parcial, en los términos establecidos en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente. También se podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
",100,133
duración determinada,"2. El contrato a tiempo parcial podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita la utilización de esta modalidad de contratación, excepto en el contrato para la formación y el aprendizaje.
",78,98
decisión empresarial,"Sin perjuicio de la ejecutividad del traslado en el plazo de incorporación citado, el trabajador que, no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la jurisdicción social. La sentencia declarará el traslado justificado o injustificado y, en este último caso, reconocerá el derecho del trabajador a ser reincorporado al centro de trabajo de origen.
",184,204
periodo de descanso,"4. Siempre que la duración de la jornada diaria continuada exceda de seis horas, deberá establecerse un periodo de descanso durante la misma de duración no inferior a quince minutos. Este periodo de descanso se considerará tiempo de trabajo efectivo cuando así esté establecido o se establezca por convenio colectivo o contrato de trabajo.
",104,123
Ley General de la Seguridad,"6. Para que el trabajador pueda acceder a la jubilación parcial, en los términos establecidos en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente. También se podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
",122,149
modalidades contractuales,"5. Sin perjuicio de lo dispuesto en los apartados 1.a), 2 y 3, los trabajadores que en un periodo de treinta meses hubieran estado contratados durante un plazo superior a veinticuatro meses, con o sin solución de continuidad, para el mismo o diferente puesto de trabajo con la misma empresa o grupo de empresas, mediante dos o más contratos temporales, sea directamente o a través de su puesta a disposición por empresas de trabajo temporal, con las mismas o diferentes modalidades contractuales de duración determinada, adquirirán la condición de trabajadores fijos.
",470,495
salarios de tramitación,"A los anteriores efectos, se considerará salario la cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos los conceptos a que se refiere el artículo 26.1, así como los salarios de tramitación en los supuestos en que legalmente procedan, sin que pueda el Fondo abonar, por uno u otro concepto, conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días de salario pendiente de pago, con un máximo de ciento veinte días.
",202,225
procedimiento concursal,"Tal plazo se interrumpirá por el ejercicio de las acciones ejecutivas o de reconocimiento del crédito en procedimiento concursal y por las demás formas legales de interrupción de la prescripción.
",105,128
representación legal,"4. El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección sobre los que se establece el deber de notificación a la representación legal de los trabajadores.
",32,52
movilidad funcional,"1. La movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales precisas para ejercer la prestación laboral y con respeto a la dignidad del trabajador.
",6,25
jornada completa,"2. Deberán constar por escrito los contratos de trabajo cuando así lo exija una disposición legal y, en todo caso, los de prácticas y para la formación y el aprendizaje, los contratos a tiempo parcial, fijos-discontinuos y de relevo, los contratos para la realización de una obra o servicio determinado, los de los trabajadores que trabajen a distancia y los contratados en España al servicio de empresas españolas en el extranjero. Igualmente constarán por escrito los contratos por tiempo determinado cuya duración sea superior a cuatro semanas. De no observarse tal exigencia, el contrato se presumirá celebrado por tiempo indefinido y a jornada completa, salvo prueba en contrario que acredite su naturaleza temporal o el carácter a tiempo parcial de los servicios.
",641,657
Comisión Consultiva Nacional,"Cuando el periodo de consultas finalice sin acuerdo y no fueran aplicables los procedimientos a los que se refiere el párrafo anterior o estos no hubieran solucionado la discrepancia, cualquiera de las partes podrá someter la solución de la misma a la Comisión Consultiva Nacional de Convenios Colectivos cuando la inaplicación de las condiciones de trabajo afectase a centros de trabajo de la empresa situados en el territorio de más de una comunidad autónoma, o a los órganos correspondientes de las comunidades autónomas en los demás casos. La decisión de estos órganos, que podrá ser adoptada en su propio seno o por un árbitro designado al efecto por ellos mismos con las debidas garantías para asegurar su imparcialidad, habrá de dictarse en plazo no superior a veinticinco días a contar desde la fecha del sometimiento del conflicto ante dichos órganos. Tal decisión tendrá la eficacia de los acuerdos alcanzados en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.
",252,280
despido colectivo,"i) Por despido colectivo fundado en causas económicas, técnicas, organizativas o de producción.
",7,24
Comisión Consultiva Nacional de Convenios,"Cuando el periodo de consultas finalice sin acuerdo y no fueran aplicables los procedimientos a los que se refiere el párrafo anterior o estos no hubieran solucionado la discrepancia, cualquiera de las partes podrá someter la solución de la misma a la Comisión Consultiva Nacional de Convenios Colectivos cuando la inaplicación de las condiciones de trabajo afectase a centros de trabajo de la empresa situados en el territorio de más de una comunidad autónoma, o a los órganos correspondientes de las comunidades autónomas en los demás casos. La decisión de estos órganos, que podrá ser adoptada en su propio seno o por un árbitro designado al efecto por ellos mismos con las debidas garantías para asegurar su imparcialidad, habrá de dictarse en plazo no superior a veinticinco días a contar desde la fecha del sometimiento del conflicto ante dichos órganos. Tal decisión tendrá la eficacia de los acuerdos alcanzados en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.
",252,293
Comisión Consultiva,"Cuando el periodo de consultas finalice sin acuerdo y no fueran aplicables los procedimientos a los que se refiere el párrafo anterior o estos no hubieran solucionado la discrepancia, cualquiera de las partes podrá someter la solución de la misma a la Comisión Consultiva Nacional de Convenios Colectivos cuando la inaplicación de las condiciones de trabajo afectase a centros de trabajo de la empresa situados en el territorio de más de una comunidad autónoma, o a los órganos correspondientes de las comunidades autónomas en los demás casos. La decisión de estos órganos, que podrá ser adoptada en su propio seno o por un árbitro designado al efecto por ellos mismos con las debidas garantías para asegurar su imparcialidad, habrá de dictarse en plazo no superior a veinticinco días a contar desde la fecha del sometimiento del conflicto ante dichos órganos. Tal decisión tendrá la eficacia de los acuerdos alcanzados en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.
",252,271
trabajadores con discapacidad,"g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo.
",13,42
copia básica,"4. El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección sobre los que se establece el deber de notificación a la representación legal de los trabajadores.
",77,89
representación legal de los trabajadores,"4. El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección sobre los que se establece el deber de notificación a la representación legal de los trabajadores.
",32,72
horas ordinarias,"a) El contrato, conforme a lo dispuesto en el artículo 8.2, se deberá formalizar necesariamente por escrito. En el contrato deberá figurar el número de horas ordinarias de trabajo al día, a la semana, al mes o al año contratadas, así como el modo de su distribución según lo previsto en convenio colectivo.
",152,168
tablón de anuncios,"Los promotores comunicarán a la empresa y a la oficina pública dependiente de la autoridad laboral su propósito de celebrar elecciones con un plazo mínimo de, al menos, un mes de antelación al inicio del proceso electoral. En dicha comunicación los promotores deberán identificar con precisión la empresa y el centro de trabajo de esta en que se desea celebrar el proceso electoral y la fecha de inicio de este, que será la de constitución de la mesa electoral y que, en todo caso, no podrá comenzar antes de un mes ni más allá de tres meses contabilizados a partir del registro de la comunicación en la oficina pública dependiente de la autoridad laboral. Esta oficina pública, dentro del siguiente día hábil, expondrá en el tablón de anuncios los preavisos presentados, facilitando copia de los mismos a los sindicatos que así lo soliciten.
",726,744
siguientes reglas,"1. El contrato de trabajo en prácticas podrá concertarse con quienes estuvieren en posesión de título universitario o de formación profesional de grado medio o superior o títulos oficialmente reconocidos como equivalentes, de acuerdo con las leyes reguladoras del sistema educativo vigente, o de certificado de profesionalidad de acuerdo con lo previsto en la Ley Orgánica 5/2002, de 19 de junio, de las Cualificaciones y de la Formación Profesional, que habiliten para el ejercicio profesional, dentro de los cinco años, o de siete años cuando el contrato se concierte con un trabajador con discapacidad, siguientes a la terminación de los correspondientes estudios, de acuerdo con las siguientes reglas:
",687,704
comisión representativa de los trabajadores,"La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del procedimiento de consultas. A estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días.
",3,46
plazo máximo para la constitución de la comisión,"La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del procedimiento de consultas. A estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días.
",334,382
plazo máximo para la constitución,"La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del procedimiento de consultas. A estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días.
",334,367
plazo máximo para la constitución de la comisión representativa,"La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del procedimiento de consultas. A estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días.
",334,397
procedimiento arbitral,"1. Las impugnaciones en materia electoral se tramitarán conforme al procedimiento arbitral regulado en este artículo, con excepción de las denegaciones de inscripción, cuyas reclamaciones podrán plantearse directamente ante la jurisdicción social.
",68,90
ámbito inferior,"a) El puesto de trabajo deberá permitir la obtención de la práctica profesional adecuada al nivel de estudios o de formación cursados. Mediante convenio colectivo de ámbito sectorial estatal o, en su defecto, en los convenios colectivos sectoriales de ámbito inferior, se podrán determinar los puestos de trabajo o grupos profesionales objeto de este contrato.
",252,267
razón de sexo,"e) Al respeto de su intimidad y a la consideración debida a su dignidad, comprendida la protección frente al acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad u orientación sexual, y frente al acoso sexual y al acoso por razón de sexo.
",258,271
antigüedad en la empresa,"f) Si al término del contrato el trabajador continuase en la empresa no podrá concertarse un nuevo periodo de prueba, computándose la duración de las prácticas a efecto de antigüedad en la empresa.
",172,196
acuerdos interprofesionales,"En caso de desacuerdo durante el periodo de consultas cualquiera de las partes podrá someter la discrepancia a la comisión del convenio, que dispondrá de un plazo máximo de siete días para pronunciarse, a contar desde que la discrepancia le fuera planteada. Cuando no se hubiera solicitado la intervención de la comisión o esta no hubiera alcanzado un acuerdo, las partes deberán recurrir a los procedimientos que se hayan establecido en los acuerdos interprofesionales de ámbito estatal o autonómico, previstos en el artículo 83, para solventar de manera efectiva las discrepancias surgidas en la negociación de los acuerdos a que se refiere este apartado, incluido el compromiso previo de someter las discrepancias a un arbitraje vinculante, en cuyo caso el laudo arbitral tendrá la misma eficacia que los acuerdos en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.
",442,469
45.1.d,"4. En los supuestos de nacimiento, adopción, guarda con fines de adopción o acogimiento, de acuerdo con el artículo 45.1.d), las personas trabajadoras tendrán derecho a una hora de ausencia del trabajo, que podrán dividir en dos fracciones, para el cuidado del lactante hasta que este cumpla nueve meses. La duración del permiso se incrementará proporcionalmente en los casos de nacimiento, adopción, guarda con fines de adopción o acogimiento múltiples.
",116,122
