AC electromagnetic yoke
AC magnetisation
Crank disk
Crank pin
Crankpin
Crankpin fillet
Crankshaft
Crew
Critical astern revolution
Cross curve
Cross sectional area
Cross sectional property
Current flow
Curved plate
Cylindrical gear
Cylindrical gears with __
DAC curve
DEFINITION OF STRESS Concentration
DESIGN LOAD Combination
DESIGN Philosophy
DGS diagram
DGS scale
DGS technique
DNV
DNV GL
DNVGL
DNVGL CG
DVS Work Sheet
DYNPOS system
Damage accumulation
Damage by Palmgren
Damage stability
Damage stability calculation
Damage stability regulation
Dead zone
Deck fire extinguishing
Deck tank
Defect evaluation
Definition of casualty threshold
Definition of stress concentration
Definition of surface treatment
Definition of thickness
Density of water
Dependent upon stress
Depth of propeller
Description of method
Description of shock
Design Intent
Design Intention
Design load
Design principle
Design safety
Detecting media
Detection media
Determination of KH_
Determination of min
Determination of probe
Determination of transverse
Diesel engine
Difference in attenuation
Directional reflectivity
Display of warning
Distance Amplitude Curve
Distance between centre
Distributed load
Documentation requirement
Door frame
Double probe
Dove tail
Draught limit
Drop technique
Dry particle
Dry powder
Dummy rod
Dynamic Factor
Dynamic Test
Dynamic load
Dynamic load case
Dynamic loads from propeller
Dynamic stress
ECHO Height
EDGE OF OIL Drilling
EN Iso
EVALUATION OF Container
EVALUATION OF FATIGUE Test
EVALUATION OF STRESS Concentration
EXPECTED Content
Early phase
Editorial correction
Effect Analysis
Effect of vertical Shift
Effective flange
Effective inflow angle
Effective section modulus
Effective section modulus coefficient
Effective tip relief
Effective wake variation
Elastic Stability
Elastic buckling
Elastic column
Elastic torsional buckling
Elasticity factor
Electric motor
Electric motor room
Electrical installation
Element
Element mesh
Element size
Empirical formula
Endurance limit
Energy method
Engine damping
Engine torque
Equipment Class
Equipment description
Equivalent flange thickness
Equivalent ice stress
Equivalent net shear
Essential machinery
Evaluation area
Evaluation mode
Evaluation of defect
Evaluation of imperfection
Evaluation of indication
Evaluation of special component
Evaluation of stress concentration
Evaluation of test result
Evaluation with respect
Eventual assumption
Examine cylinder
Example of FE mesh
Example of FE model
Example of fine mesh
Examples of fine mesh
Excess penetrant removal
Excess penetrant remover
Expected content
Extension cable
Extent of model
Extent of testing
External dimension
Extreme condition
FACTORS FOR Diesel
FE Cargo
FE Load combination table
FE Model
FE analysis
FE calculation
FE cargo
FE load
FE load combination
FE loading
FE loading pattern
FE mesh
FE method
FE model
FE model axis
FE partial ship
FE program
FE structural assessment
FE tool
FE – Girder
FE – Torispherical
FINITE ELEMENT Analysis
FINITE ELEMENT Method
FIRE Safety
FRP Composite plate
FRP composite plate
FVV investigation
Face load factor
Face plate
Factor for Low Cycle
False indication
Fatigue Damage Accumulation
Fatigue damage accumulation
Fatigue initiation
Fatigue parameter
Fatigue strength
Fatigue strength amplitude
Fatigue strength assessment
Fatigue stress
Faulkner imperfection model
Ferritic material
Ferromagnetic material
Field of application
Filling limitation
Film viewing
Fine mesh
Finer mesh
Finite element analysis
Finite element type
Fire damper
Fire detection
Fire door
Fire extinction
Fire safety
Fixed firefighting system
Flag state
Flat Bottom Hole
Flat bar
Flexible cable
Flooding angle
Flow Test
Flow chart
Fluctuating blade load
Fluorescent particle
Fluorescent technique
Foam fireextinguishing
Forces for shoring
Foremost Cargo hold
Foremost cargo
Foremost cargo hold
Forward bulkhead
Forward cargo
Frame spacing
Free surface correction
Free surface effect
Free surface moment
Front wall frame
GENERAL INFLUENCE Factor
GEOMETRICAL STRESS CONCENTRATION Factor
GIRDER Ultimate
GIRDER WITH Cut
GL standard Test
GLOBAL STRENGTH Analysis
GUIDANCE ON FATIGUE Analysis
GZ curve
GZ residual curve
GZ value
Gas
Gas concentration
Gas detection
Gas venting system
Gear
Gear ratio
Gears with __
General Assumption
General ULS design
General arrangement
General criteria
General formula
General intention
General procedure
General software
Geometrical definition
Geometrical imperfection
Geometrical relation
Geometrical stress concentration factor
Geometrical unsharpness
Girder
Girder panel
Girder web
Global strength analysis
Grain stability
Grain stability calculation
Graphical method
Graphical presentation
Group of damage
Groups of damage
Guidance note
Guidance on simulation
Guide block
Guideline
HIGH CYCLE FATIGUE Criterion
HISTORIC Change
HOT GALVANIZING
HUB AND PITCH Mechanism
Hard corner
Hard corner element
Hatch cover
Hazard
Hazard identification
Helix angle factor
Helix angle factor Y_
Hertzian contact
Hertzian contact width
High Cycle Fatigue
High cycle
High cycle fatigue strength
High cycle stress
Higher notch
Higher stress concentration
Historic change
Horizontal nodal force
Horizontal wave
Hose assembly
Hot Galvanizing
Hull Girder
Hull Girder Ultimate
Hull Girder strength
Hull form
Hull girder
Hull girder shear
Hull girder transverse
Hull support structure
Hydrocarbon piping
Hydrophilic emulsifier
Hydrostatic Test
Hydrostatic data
IACS Rec
IACS Ur
IACS rec
IACS recommendation
IEC standard
IGC Code
IIW block
IIW calibration block
IMO Msc
IMO Re
IMO chemical
IMO chemical type
IMO circular
INDIVIDUAL Foundation
IQI on film
IQI on source
IQI value
ISO STRENGTH Rating
ISO container
ISO socket
ISO strength rating
Ice
Ice interaction load
Ice load
Ice strengthening of propulsion
Illustrations of hydraulic system
Image Quality Class
Immersion time
Imperfection Sensitivity
Important equipment
Independent assessment
Induction hardening
Influence from stress concentration
Influence of component size
Informative reference
Initial metacentric height
Initial verification
Inner contact point
Inner diameter
Inspection in accordance
Intact stability
Intact stability regulation
Integrated plating
Intermediate shaft
Intermediate shaft flange fillet
Internal imperfection
Internal lashing
Internal pressure
Iso
Journal fillet
KA K_
KA K_ Kv
KA norm
KN data
Kinematic oil viscosity
Kthick
LATERAL RIGID Support
LINEAR FE –
LNG tank
LOADING ON PROPELLER Hub
LOCAL STRUCTURE STRENGTH Analysis
LOW CYCLE FATIGUE Criterion
LSA Code
Large Deflection Analysis
Lateral pressure
Lateral pressure effects
Light ship
Lightship weight
Limit curve
Limit state
Limits of application
Linear Damage Rule
Linear Fe
Linear indication
Linear spring
Liquefied gas tanker
List of grain data
List of limit
Load application
Load case
Load combination
Load correction factor
Load transmission
Load variation
Loading
Loading computer
Loading computer system
Loading limitation
Loading pattern
Local buckling of stiffener
Local load distribution
Local structure strength analysis
Local tooth root
Long term stress
Longitudinal extent
Longitudinal force in way
Longitudinal racking force
Longitudinal slot
Low Cycle Criteria
Low Cycle Fatigue
Low cycle stress
Lower corner
Lux meter
MAGNETIC PARTICLE Testing
MAINTENANCE OF Class
METAL Coating
MIXED Stowage
MONITORING System
MPa
MSC circular
Machinery Cm
Magnetic field strength
Magnetic particle
Magnetic particle testing
Main engine
Maintenance of class
Maintenance of safety
Maintenance of safety equipment
Manual input for compartment
Manual input for permeability
Martensitic Stainless Steel
Material fatigue
Material parameter
Material property
Material thickness
Materials fatigue
Max Principal
Max SFLC
Maximum Gm
Maximum Kg
Maximum continuous power
Maximum draft
Maximum draught
Maximum dynamic stress
Maximum element size
Maximum grain
Maximum ice load
Maximum obtainable astern
Maximum permissible hole
Maximum permissible oversize
Maximum profile thickness
Maximum stress
Maximum trim
Maximum value
Mean stress influence
Mean stress influence factor
Measurement
Mesh
Mesh arrangement
Mesh property
Metal
Metallic coating
Method for fatigue analysis
Methodology
Midship cargo
Min Principal
Miner sum
Minimum Gm
Minimum angle
Minimum draft
Minimum draft midship
Minimum draught
Minimum requirement
Minimum shaft diameter
Minimum stress
Minimum thickness
Minimum value
Mises stress
Mo with _B
Mode interaction
Mode of failure
Model requirement
Modes of failure
Modified staircase method
Moment arm factor
Moment of inertia
Msc
Multiradii transition
NDT instruction
NDT method
NDT operator
NDT procedure
NORMATIVE Reference
Name of shipyard
Naval application
Naval ship code
Ne time
Net scantling
New installation
Nitriding steel
Nominal alternating
Nominal rim
Nominal stress sn
Nominal tangential load
Nominal thickness
Nominal torsional stress
Nominal wire diameter
Normative reference
Notch
Notch influence
Notch radius
Notch sensitivity
Notch sensitivity factor
Number of blade
Number of different load
Number of frame
Number of frame space
Number of indication
Number of layer
Number of nodal point
Number of propeller blade
Numerical approach
Nx stress
OD notch
OD surface
OIL Bore
Offshore Classification
Offshore installation
Offshore unit
Oil distribution shaft
Oil film
Open propeller
Operational requirement
Optical density
Optional class notation
Outlet of crankpin
Outlet of crankpin oil
Outlet of journal
Overall buckling
Overall performance Test
Overlap beam element
PROPULSION MACHINERY Subject
PULS code
Palmgren – Miner
Panels Subjected
Parent material thickness
Partial ship analysis
Passenger vessel
Peak stress
Penetrant material
Penetrant testing
Penetrated thickness
Penetration time
Perform internal inspection
Permanent deformation
Permissible contact stress
Permissible high cycle
Permissible low cycle
Permissible tooth root stress
Permissible torsional vibration
Personnel qualification
Phase control
Photo chromatic
Physical Science
Pinion
Pinion tooth root
Pitch angle
Pitch ratio
Planar discontinuity
Plastic hinge
Plate Buckling
Plate Panel
Plate response
Podded propulsors
Port regulation
Portable container
Post cleaning
Preparation of CM program
Preparation of surface
Pressure crude oil
Pressure gas line
Pressure vessel
Primary Gain
Principles of calculation
Probability density
Probability density function
Probability function
Probe
Probe angle
Probe index
Probe movement
Profile camber
Profile thickness
Program Description
Program description
Proof Load
Propeller
Propeller Blade
Propeller blade
Propeller blade force
Propeller blade plastic
Propeller blade strength assessment
Propeller damping
Propeller diameter
Propeller flange
Propeller hub
Propeller radius
Propeller revolution
Propeller shaft
Proportional load history
Propulsion
Psd
Pseudo velocity
Quality Indicator
Quality assurance
Quality assurance system
Quality class
Quality level
REQUEST Form
RG for journal
RH for crankpin
RH with RG
ROOT Area
RU SHIP Pt
Rack tooth root
Racking force
Racking resilience
Radial hole
Radial location
Radiation source
Radiographic testing
Range F –
Range M –
Range of validity
Ratio between width
Recognised standard
Recommended manner for element
Reduction factor
Reduction gear
Reference location of element
Reference stress
Refrigeration system
Regular panel
Regulation
Relative damping
Relative notch sensitivity factor
Relative radius
Relative reduction of fatigue
Relative surface condition factor
Relevant dimension
Relevant load
Relevant material data
Reliable values for material
Remedial measure
Repair
Repair Quality
Repetitive nominal peak
Reporting requirement
Required safety factor
Requirements for equipment
Requirements for personnel
Requirements for repair
Rescue boat
Residual Gm
Resonance tester
Response curve
Responsible for invoice
Retention of class
Review of safety
Rigid link
Risk
Risk analysis
Root fillet
Root fillet radius
Rotational boundary support
Rotational edge
Rotational speed
Rotational spring
Rule reference
Rules for Classification
SCF in IACS Ur
SECURING Arrangement
SER
SF target
SHAFT DESIGN AGAINST Fatigue
SHIP Description
SHIP Pt
SHIP RU Pt
SHIP STRUCTURAL Analysis
SI Ii
SN curve
SOLAS
SOLAS Ii
SOLAS Iv
SOLAS Reg
SOLAS regulation
SPECIAL Container
SPECIFIC Vessel
SRTP system assessment
SRTP system concept
SRtP
SRtP Test
SRtP casualty
SRtP compliance
SRtP compliant
SRtP design
SRtP document
SRtP documentation
SRtP process
SRtP range
SRtP regulation
SRtP requirement
SRtP system
SRtP test strategy
STRUCTURAL Configuration
SWL
SWL value
Safe Area
Safe Return
Safety
Safety factor
Scan plan
Scantlings assessment
Schematic
Schematic illustration
Screen Height
Seagoing condition
Sec
Secondary stiffener
Section
Securing
See RU SHIP Pt
Select frequency
Selected probe
Selection of safety
Selection of testing method
Sensitivity level
Service supplier
Servo cylinder
Servo pressure
Shear
Shear Force distribution
Shear flow
Shear force
Shear force correction
Shear stress
Shell buckling
Shell element
Ship Hull
Ship Installation
Ship description
Ship hull
Ships and Class Guideline
Shock
Shock response spectrum
Shock testing
Shock testing machine
Shot peening
Shoulder fillet
Sign convention
Signal display
Simplified diameter
Simplified method
Simplified procedure
Single actuator
Singularities in membrane
Singularity truss
Site Test
Skew correction factor
Skewed propeller
Skip distance
Sleeve type
Slender structure
Small specimen
Smith method
Software
Software description
Software name
Software specification
Software version
Software version date
Special considerations – ship
Special container
Special shell
Specific calculation method
Spherical Shell
Spherical shell
Spindle torque
Spraying technique
Spring stiffness
Springer Verlag
Square groove
Stack
Stainless steel
Standard Practice for Casting
Standard mesh
Static strength
Static stress
Statutory Interpretation
Steel Forging
Steel and Aluminium Panel
Steel casting
Step calibration block
Step with Undercut
Stiffened Panel
Stiffener cross
Stiffener induced failure
Stored characteristic data
Stowage
Straight beam
Strength Criteria
Strength assessment
Strength evaluation
Stress amplitude
Stress averaging
Stress calculation
Stress concentration
Stress correction
Stress correction factor
Stress distribution
Stress gradient influence
Stress interaction effect
Stress level
Stress spectrum
Stresses in thin rim
Stroke peening
Structural Capacity
Structural analysis
Structural model
Structural modelling
Student Edition
Student edition
Submersion of shaft
Subsequent cleaning
Subsurface fatigue
Surface condition influence term
Surface element
Surface hardening
Surface preparation
Surface roughness
Surface treatment
Survey
System
System design philosophy
System piping
THERMAL Spraying
THICKNESS OF Propeller
TMCP material
TMCP steel
TOLERANCES OF Container
TORISPHERICAL Tank
TRANSIENT Vibration
TV camera
TV ideal
TV misf
TYPICAL SWL Value
Tank data
Tanker
Tanks for liquefied gas
Target hull girder
Target hull girder shear
Technique
Techniques for application
Test
Test Arrangement
Test Panel
Test calculation
Test emergency power supply
Test laboratory
Test severity
Testing of parent material
Testing volume
Theory fundamental
Thermal spraying
Thickness of plate
Thin rim factor
Thrust coefficient
Thruster
Tilting line
Timber on deck
Tip diameter
Tip relief
Tip thickness
Tooth form factor
Tooth root
Tooth stiffness constant
Torque coefficient
Torque induced force
Torsion box
Torsional Moment
Torsional buckling
Torsional stress
Torsional vibration
Transfer correction
Transient Vibration Criterion
Transmission of load
Transversal load distribution factor
Transverse bulkhead
Transverse force in way
Transverse frame model
Transverse imperfection
Transverse loading
Transverse racking force
Trim limit
Tv misf
Twin crystal
Twin rudder
Twist lock
Twist locks
Type of finite element
Type of indication
Typical SWL for container
Typical SWL value
Typical application
Typical finite element
Typical mesh
ULTIMATE HULL GIRDER Capacity
UV lamp
UV radiation
Ultimate Hull girder
Ultimate Limit State
Ultimate Strength Analysis
Ultimate Strength Prediction
Ultimate blade load
Ultimate buckling
Ultimate buckling capacity
Ultimate capacity
Ultimate hull girder capacity
Ultimate moment capacity
Ultimate strength
Ultimate tensile strength
Ultrasonic Examination
Ultrasonic Standard Reference Block
Ultrasonic apparatus
Ultrasonic testing
Unified Requirement
Uniform lateral pressure
Uniform pressure
Unprotected opening
Unsupported edge
Upper corner
Use of angle probe
Use of permanent magnet
Use of symbol
Utilization factor
VISUAL Testing
VL certificate
VOC as fuel
VOC compressor
VOC plant
Values of endurance
Variable cross
Ventilation fan
Verification scheme
Verify
Vertical compression
Vertical force
Vertical lashing
Vertical load
Vertical shear force
Vertical shear force diagram
Vertical shift adjustment
Vertical tension
Vertical wave
Vertical wave shear force
Vessel approval
Viewing condition
Visible light
Visual examination
Visual testing
Voc
WEB FILLET RADII
Wall thickness
Water mist
Wave load analysis
Weathertight opening
Web fillet
Web local buckling
Web plate
Web stiffener
Weibull distribution
Weibull scale parameter
Weibull shape parameter
Weibull stress distribution
Weld
Weld imperfection
Weld zone
Welding
Welding procedure
Welding procedure specification
Welding spatter
Wet fluorescent testing
Wet particle
Width of expanded section
Wind load
Work hardening factor
Work process
YFa Ysa
YS RESP
Yield strength assessment
Yield utilisation factor
ZV Zr
Zone factor
Zone width
abandon ship
abrasive paper
absolute acceleration
absolute value
absolute values of _Qmdf
abutting structure
acceptability criterion
acceptability factor
acceptable for passenger
acceptable indication
acceptable level of safety
acceptable standard
acceptable standard for acceptance
acceptance criteria
acceptance level
acceptance of design
accessible component
accessible side
accidental alteration
accordance with En
accordance with Figure
accordance with Iso
accordance with Ru
accordance with Sec
accordance with Table
accordance with manufacturer
accordance with recognised standard
accurate interpretation of indication
accurate sketch
acoustic property
active facewidth
active flank
actual WPS
actual damage stability criteria
actual design
actual element mesh
actual heeling moment
actual mean stress
actual profile thickness
actual refraction angle
actual safety factor
actual shaft
actual shaft component
actual single mesh
actual slope
actual stress
actual tooth root
actual utilization factor
actuator
adaptive frame
addition to straight beam
additional class notation
additional class notation RSCS
additional container
additional draught
additional guideline
additional horizontal
additional information
additional inspection method
additional requirement
additional requirement for passenger
additional stress
additional written procedure
adequate contact
adequate contrast
adequate tip relief
adjacent coated surface
adjacent crank
adjacent frame
adjacent hold
adjacent main journal
adjacent plate panel
adjacent structure
adjustment for weld
adjustment in shear force
adjustment with method
adjustments in shear force
aerosol generator
aft bulkhead
aft cargo
aft cargo hold
aft end
aft end section
aft end support
aft stern tube
aftmost cargo
aftmost cargo hold
air circulation
alarm limit
allowable buckling utilisation factor
allowable grain
alloy material group
alloy steel
alterations of container
alternating stress
alternating torsional stress
amount of tip relief
amplitude distribution
amplitude response
analyses of ship
analysis of plate
analysis of ship
analysis of thruster
analysis procedure
analytical Model
analytical approach
analytical buckling model
analytical method
analytical solution
angle at ref
angle at tip cylinder
angle beam
angle beam in steel
angle beam probe
angle beam testing
angle compression wave
angle deviation
angle of lashing
angle probe
angle profile
angle shear wave
angular deviation
angular extension of fillet
angular misalignment
anisotropic steel
annual verification
apparatus serial number
applicable analysis
applicable for shaft
applicable for testing
applicable for vessel
applicable rule reference
applicable stability
applicable standard
application factor
application of load
application of vertical load
applied tooth force
approach path
approval
approval certificate
approval request
approval request form
approval scope
approved procedure
approved service supplier
arc length
arc length parameter
area in local beam
area of element
area of uniform thickness
area of web plate
area under GZ curve
area under Test
area with stress concentration
areas of interest
areas outside cargo
arrangement
arrangement drawing
arrangement for machinery
arrangement illustrated in Figure
arrangement in Figure
arrangement of cargo hold
arrangement plan
artificial transition point
aspect ratio
assembly control
assessment
assessment of ship
assessment of similar detail
assessment report
assessment technique
assessment with Pul
assessments of ship
astern number of revolution
astern operation
astern power
attachment point
audible and visual alarm
austenitic stainless steel
automatic DAC
automatic action
automatic isolation
automatic process
automatic release
automatic sprinkler
auxiliary gear
auxiliary steering gear
auxiliary system
available in addition
available on board
average fatigue
average mesh stiffness
average shear stress
axial compression
axial compressive stress
axial direction
axial force
axial load
axial scanning
axial stiffness
axial strain
axial strain of centre
axial stress
axial vibration
axial vibration calculation
axially bored crankpin
back reflection
back wall echo
backward load
backward load Fb
ballast condition
ballast tank
bar subject
bar with shoulder fillet
base for normal probe
base with straight beam
baseline measurement
basic calibration block
basic criteria
basic principle
basic rack
basic rack ref
basic recommendation
batch certificate
beam analysis
beam angle
beam centre
beam column
beam element
beam element model
beam model
beam path
beam probe
beam spread
beam testing
beam theory
bearing arrangement
bearing clearance tolerance
bearing deflection
bearing wear
bearing wear monitoring
berechnung von
bevel
bevel gear
bevel gear factor
bilge system
blade
blade bearing
blade bolt
blade carrier
blade carrier bearing
blade edge
blade face
blade failure
blade failure load
blade fitting arrangement
blade flange
blade force
blade load
blade loss
blade root
blade root fillet
blade spindle torque
blade surface
blade tip
blasting
blasting agent
block for calibration
block for creep
blocks for calibration
blocks for creep
blocks with side
board cylinder
board documentation
board during sea trial
board ship
bollard astern power
bollard condition
bolt stress
bottom container
bottom corner
bottom corner casting
bottom girder
bottom hole
bottom hole calibration technique
bottom panel
bottom plating
bottom slamming
bottom structure
bound strength
boundary condition
boundary effects
boundary node
boundary support
box structure
bracket arm
bracket toe
breadth of corrugation
breathing apparatus
brief description
bronze material
buckling Stiffness
buckling analysis
buckling and ultimate strength
buckling assessment
buckling behaviour
buckling capacity
buckling characteristic
buckling checks of stiffener
buckling code
buckling control
buckling curve
buckling failure
buckling limit
buckling load
buckling mode
buckling model
buckling of bar
buckling of flat bar
buckling of plate
buckling of stiffener
buckling panel
buckling pattern
buckling region
buckling requirement
buckling response
buckling stiffener
buckling strength
buckling strength assessment
buckling stress
buckling utilisation factor
building project
bulb profile
bulk carrier
bulk temperature
bulkhead
bulkhead at station
bulkhead of middle hold
bulkhead part
bulkhead position
buoyancy method
butt weld
cable routing
calculated steady state
calculated torsional vibration
calculated value
calculation example
calculation method
calculation model
calculation of KH_
calculation of Kv
calculation of SCF
calculation of severe wind
calculation of stress concentration
calculation of surface
calculation procedure
calculation program
calculation purpose
calculations in normal condition
calibration
calibration block
camber correction factor
capability
capacity assessment
capacity by multi
capacity limit
capacity of plate
capacity requirement
car carrier
carbon dioxide
carbon steel
cargo
cargo area
cargo containment system
cargo density
cargo hold
cargo hold analysis
cargo hold arrangement
cargo hold length
cargo hold model
cargo hold of model
cargo hold region
cargo hold structure
cargo in adjacent compartment
cargo region
cargo tank
cargo vapour
cargo vapour recovery
cargo vessel
case basis
case by case
case by case basis
case by case evaluation
case crank pin
case damage stability
case depth
case effective height
case evaluation
case hardening
case of approved shot
case of tensile
casualty
casualty scenario
casualty threshold
cell guide
central axis
central node
centre distance
centre node
centre of gravity
centre of rotation
centreline and inner bottom
centres of gravity
centrifugal stress
certification
certification scheme
change in Hcr
change of pitch
changes in operational requirement
changes per hour
changes slope
characteristic behaviour
characteristic buckling resistance
characteristic buckling stress
characteristic curve
characteristic data
characteristics behaviour
checks against damage
chemical composition
chemical stability Test
chord element
chord length
chord line
circumferential direction
circumferential extension
clad welding
clamping bolt
class approval scope
class guideline
class notation
classical elastic buckling
classification
classification based on risk
classification guideline
classification of ship
classification rule
classification society
claw device
clean lint
clean steel
clearance tolerance
closed form
closed form method
closed position
closing of isolation valve
coarse mesh
coarse mesh stress
coating
coating and clad welding
coating manufacturer
coating material
coating thickness
coefficient at considered section
coefficient at maximum bollard
coefficient for high cycle
coefficient of friction
coefficients for plastic flow
cold rolling
collapse behaviour
collapse limit
collapse mode
collapse of structural element
collapse region
collision bulkhead
colour contrast
colour contrast penetrant
colour contrast product family
column buckling
combat task
combination bi
combinations for container
combined effect
combustion
common shaft design
common structural rule
comparison exposure
compatibility equation
competent crew member
complete coverage
complete crank
complete dynamic system
complete sphere
complete sphere with radius
complete stress
complex plane
complex plane display
component in question
component influence
component influence factor
component stress
component stress history
components for proper condition
components for thermal spraying
components in pitch
components of lashing force
components on open deck
components stress history
compressed side
compression fillet
compression flange
compression force
compression load
compression member
compression of plate
compression wave
compression wave angle
compressive buckling stress
compressive force
compressive load
compressive principal membrane stress
compressive residual
compressive residual stress
compressive stress
compressor room
computer program
computer screen
computer software
computer system
computerized buckling
concentration factor
concentration factor for compression
concentration factor for torsion
conceptual document
condensate system
condition
condition for strength
condition monitoring
condition monitoring method
conditions for compliance
cone adapter
cone angle
confidence interval
configuration of stiffened plate
configurations for surface
connection with approval
consequence
consequence of hazard
consequences of failure
consequences of hazard
conservative assumption
considerable negative torque
consideration for future revision
consideration of beam
constant hardness
constant stress
constant stress amplitude _v
constraints at model
construction of reference
contact pattern
contact ratio
contact ratio factor Y_
contact surface
contact temperature
contact width
container
container block
container carrier
container corner
container data
container end
container end frame
container force
container foundation
container lashing
container layer
container position
container position correction factor
container post
container securing
container securing device
container ship
container stack
container stowage
container type
containers in cargo
context of ice interaction
continued service
continuous beam
continuous grain flow
continuous longitudinal stiffener
continuous operation
continuous stiffener
continuous structure
contracting party
control and monitoring system
control panel
control valve
controllable pitch propeller
controllable pitch propeller plant
controlled manner
conversion formula
copper works
core hardness
core material
corner casting
corner post compression
corner post force
corner post load
correct area
correction factor
correction factor for influence
correction value
corresponding SCF
corresponding class guideline
corresponding fatigue strength
corresponding piping section
corresponding position
corresponding shock
corrosion deduction
corrosion protection
corrosion resistance
corrosive environment
corrugated bulkhead
corrugated panel
corrugation flange
corrugation of corrugated bulkhead
couplant medium
coupling medium oil
craft piping system
crank
crank dimension
crank disk
crank pin
crank pin force
crank pin on crank
crank pin profile
crank plane
crank radius
crank size
crank test
crank throw
crank train bearing
crank web
crankpin
crankpin cross
crankpin diameter
crankpin fillet
crankpin fillet criterion
crankpin hardening
crankpin oil
crankpin or journal hardening
crankpin plane
crankshaft
creep wave probe
crew
criteria
criteria against GZ curve
criteria for composite
criteria for metallic material
criteria for propeller
critical buckling
critical element
critical location
critical mode
critical plane criteria
critical section
critical strength
critical stress
cross curve
cross sectional area
cross sectional centroid
cross tie
crude oil
cruise vessel
cumulative approach
cumulative damage
cumulative fatigue
cumulative fatigue calculation
cumulative length of indication
current field measurement
current magnetization
curvature increment
curve for steel
curve in damaged condition
curve in intact condition
curved object
curved panel
curved plate limit state
curved plate panel
curves for representative ship
cycle
cycle torsional fatigue
cycle torsional vibration stress
cycle torsional vibratory stress
cycles in block
cyclic mesh stiffness variation
cyclic torque
cylinder
cylinder valve
cylindrical and bevel gear
cylindrical gear
cylindrical section
dB beam profile
dB drop profile
dB drop technique
dB pr
damage and consequent flooding
damage calculation
damage ratio
damage stability
damage stability criteria
damage stability requirement
damage sum
damaged tank
damping action
damping and torque characteristic
